category,measure
All,5793436.0
A_K_Peters%2c_Ltd,1444285
Warner_Bros,828793
Washington%2c_D.C,744947
Rangers_F.C,744639
Welcome_to_the_N.H.K,743983
Valentine%27s_Day,330462
Facebook,296995
Tuenti,281319
Peter_Alexander,229100
Fedor_Emelianenko,148913
