category,group,measure
0,All,133747
1,All,134982
2,All,140120
3,All,139886
4,All,141211
5,All,153239
6,All,136051
7,All,145066
8,All,141879
9,All,141400
10,All,141077
11,All,136752
12,All,147050
13,All,163027
14,All,163175
15,All,174475
16,All,319775
17,All,345817
18,All,343617
19,All,351048
20,All,354586
21,All,376766
22,All,422046
23,All,410888
0,A_K_Peters%2c_Ltd,0
1,A_K_Peters%2c_Ltd,0
2,A_K_Peters%2c_Ltd,0
3,A_K_Peters%2c_Ltd,0
4,A_K_Peters%2c_Ltd,0
5,A_K_Peters%2c_Ltd,0
6,A_K_Peters%2c_Ltd,0
7,A_K_Peters%2c_Ltd,0
8,A_K_Peters%2c_Ltd,0
9,A_K_Peters%2c_Ltd,0
10,A_K_Peters%2c_Ltd,0
11,A_K_Peters%2c_Ltd,0
12,A_K_Peters%2c_Ltd,0
13,A_K_Peters%2c_Ltd,0
14,A_K_Peters%2c_Ltd,0
15,A_K_Peters%2c_Ltd,9706
16,A_K_Peters%2c_Ltd,158392
17,A_K_Peters%2c_Ltd,182121
18,A_K_Peters%2c_Ltd,180198
19,A_K_Peters%2c_Ltd,179899
20,A_K_Peters%2c_Ltd,182991
21,A_K_Peters%2c_Ltd,183624
22,A_K_Peters%2c_Ltd,183471
23,A_K_Peters%2c_Ltd,183883
0,Warner_Bros,30898
1,Warner_Bros,31221
2,Warner_Bros,31182
3,Warner_Bros,31418
4,Warner_Bros,31231
5,Warner_Bros,31251
6,Warner_Bros,31351
7,Warner_Bros,31377
8,Warner_Bros,31853
9,Warner_Bros,31708
10,Warner_Bros,31753
11,Warner_Bros,31515
12,Warner_Bros,31381
13,Warner_Bros,31222
14,Warner_Bros,30719
15,Warner_Bros,30706
16,Warner_Bros,30316
17,Warner_Bros,30567
18,Warner_Bros,29943
19,Warner_Bros,30161
20,Warner_Bros,30464
21,Warner_Bros,54302
22,Warner_Bros,61153
23,Warner_Bros,61101
0,Washington%2c_D.C,30926
1,Washington%2c_D.C,31411
2,Washington%2c_D.C,31217
3,Washington%2c_D.C,31529
4,Washington%2c_D.C,31392
5,Washington%2c_D.C,31336
6,Washington%2c_D.C,31575
7,Washington%2c_D.C,31315
8,Washington%2c_D.C,31720
9,Washington%2c_D.C,31636
10,Washington%2c_D.C,31698
11,Washington%2c_D.C,31466
12,Washington%2c_D.C,31444
13,Washington%2c_D.C,31333
14,Washington%2c_D.C,30784
15,Washington%2c_D.C,30863
16,Washington%2c_D.C,30302
17,Washington%2c_D.C,30591
18,Washington%2c_D.C,29976
19,Washington%2c_D.C,29896
20,Washington%2c_D.C,30573
21,Washington%2c_D.C,30717
22,Washington%2c_D.C,30570
23,Washington%2c_D.C,30677
0,Rangers_F.C,30953
1,Rangers_F.C,31246
2,Rangers_F.C,31386
3,Rangers_F.C,31401
4,Rangers_F.C,31119
5,Rangers_F.C,31264
6,Rangers_F.C,31462
7,Rangers_F.C,31496
8,Rangers_F.C,31925
9,Rangers_F.C,31809
10,Rangers_F.C,31699
11,Rangers_F.C,31568
12,Rangers_F.C,31440
13,Rangers_F.C,31469
14,Rangers_F.C,30728
15,Rangers_F.C,30643
16,Rangers_F.C,30377
17,Rangers_F.C,30450
18,Rangers_F.C,29833
19,Rangers_F.C,30006
20,Rangers_F.C,30380
21,Rangers_F.C,30595
22,Rangers_F.C,30673
23,Rangers_F.C,30717
0,Welcome_to_the_N.H.K,30961
1,Welcome_to_the_N.H.K,31124
2,Welcome_to_the_N.H.K,31370
3,Welcome_to_the_N.H.K,31500
4,Welcome_to_the_N.H.K,31370
5,Welcome_to_the_N.H.K,31186
6,Welcome_to_the_N.H.K,31674
7,Welcome_to_the_N.H.K,31493
8,Welcome_to_the_N.H.K,31701
9,Welcome_to_the_N.H.K,31791
10,Welcome_to_the_N.H.K,31675
11,Welcome_to_the_N.H.K,31430
12,Welcome_to_the_N.H.K,31313
13,Welcome_to_the_N.H.K,31151
14,Welcome_to_the_N.H.K,30644
15,Welcome_to_the_N.H.K,30646
16,Welcome_to_the_N.H.K,30363
17,Welcome_to_the_N.H.K,30512
18,Welcome_to_the_N.H.K,29915
19,Welcome_to_the_N.H.K,29910
20,Welcome_to_the_N.H.K,30561
21,Welcome_to_the_N.H.K,30648
22,Welcome_to_the_N.H.K,30497
23,Welcome_to_the_N.H.K,30548
0,Valentine%27s_Day,6677
1,Valentine%27s_Day,6684
2,Valentine%27s_Day,6841
3,Valentine%27s_Day,6941
4,Valentine%27s_Day,7292
5,Valentine%27s_Day,7440
6,Valentine%27s_Day,7541
7,Valentine%27s_Day,7519
8,Valentine%27s_Day,7301
9,Valentine%27s_Day,7661
10,Valentine%27s_Day,8446
11,Valentine%27s_Day,9908
12,Valentine%27s_Day,10322
13,Valentine%27s_Day,12076
14,Valentine%27s_Day,16250
