category,group,measure
0,All,1018199
1,All,850183
2,All,861866
3,All,875771
4,All,1073775
5,All,4242345
6,All,1082656
7,All,919270
8,All,814612
9,All,828060
10,All,912417
11,All,997390
12,All,854455
13,All,953723
14,All,848560
15,All,742343
16,All,740580
17,All,852829
18,All,886810
19,All,885389
20,All,969329
21,All,920444
22,All,842963
23,All,871394
24,All,1142120
25,All,3468485
26,All,1125402
27,All,1181552
28,All,973322
29,All,877580
0,Facebook,296995
1,Facebook,255033
2,Facebook,224060
3,Facebook,208962
4,Facebook,220525
5,Facebook,241468
6,Facebook,254412
7,Facebook,262965
8,Facebook,220943
9,Facebook,238767
10,Facebook,283965
11,Facebook,348778
12,Facebook,202825
13,Facebook,218571
14,Facebook,202978
15,Facebook,180175
16,Facebook,186680
17,Facebook,208609
18,Facebook,207749
19,Facebook,216139
20,Facebook,244660
21,Facebook,220089
22,Facebook,206947
23,Facebook,207814
24,Facebook,216023
25,Facebook,238548
26,Facebook,257156
27,Facebook,289128
28,Facebook,219598
29,Facebook,217737
0,Hlavn%C3%AD_strana,134379
1,Hlavn%C3%AD_strana,102006
2,Hlavn%C3%AD_strana,109949
3,Hlavn%C3%AD_strana,133416
4,Hlavn%C3%AD_strana,136211
5,Hlavn%C3%AD_strana,146289
6,Hlavn%C3%AD_strana,143104
7,Hlavn%C3%AD_strana,125036
8,Hlavn%C3%AD_strana,96732
9,Hlavn%C3%AD_strana,94992
10,Hlavn%C3%AD_strana,118863
11,Hlavn%C3%AD_strana,139013
12,Hlavn%C3%AD_strana,146678
13,Hlavn%C3%AD_strana,143981
14,Hlavn%C3%AD_strana,132302
15,Hlavn%C3%AD_strana,101915
16,Hlavn%C3%AD_strana,113948
17,Hlavn%C3%AD_strana,147819
18,Hlavn%C3%AD_strana,147625
19,Hlavn%C3%AD_strana,150273
20,Hlavn%C3%AD_strana,157822
21,Hlavn%C3%AD_strana,143663
22,Hlavn%C3%AD_strana,116643
23,Hlavn%C3%AD_strana,118319
24,Hlavn%C3%AD_strana,151676
25,Hlavn%C3%AD_strana,165915
26,Hlavn%C3%AD_strana,166516
27,Hlavn%C3%AD_strana,165216
28,Hlavn%C3%AD_strana,158025
29,Hlavn%C3%AD_strana,125491
0,Jules_Verne,820
1,Jules_Verne,430
2,Jules_Verne,7925
3,Jules_Verne,9806
4,Jules_Verne,162900
5,Jules_Verne,3268017
6,Jules_Verne,119219
7,Jules_Verne,0
8,Jules_Verne,0
9,Jules_Verne,0
10,Jules_Verne,0
11,Jules_Verne,0
12,Jules_Verne,0
13,Jules_Verne,0
14,Jules_Verne,0
15,Jules_Verne,0
16,Jules_Verne,0
17,Jules_Verne,0
18,Jules_Verne,286
19,Jules_Verne,7473
20,Jules_Verne,0
21,Jules_Verne,0
22,Jules_Verne,0
23,Jules_Verne,0
24,Jules_Verne,0
25,Jules_Verne,0
26,Jules_Verne,0
27,Jules_Verne,0
28,Jules_Verne,0
29,Jules_Verne,0
0,Mark_Zuckerberg,121595
1,Mark_Zuckerberg,81768
2,Mark_Zuckerberg,63200
3,Mark_Zuckerberg,67581
4,Mark_Zuckerberg,79451
5,Mark_Zuckerberg,85261
6,Mark_Zuckerberg,82523
7,Mark_Zuckerberg,136255
8,Mark_Zuckerberg,102338
9,Mark_Zuckerberg,72639
10,Mark_Zuckerberg,80530
11,Mark_Zuckerberg,73317
12,Mark_Zuckerberg,92929
13,Mark_Zuckerberg,143294
14,Mark_Zuckerberg,143335
