category,measure
All,34562951.0
Facebook,7262611
Hlavn%C3%AD_strana,4158171
Jules_Verne,3577094
Mark_Zuckerberg,3554526
Google,3168148
Paul_C%C3%A9zanne,2781164
Justin_Bieber,2618736
Ana_Sayfa,2486379
Accueil,2483280
United_States,2472842
