category,measure
All,2927567.0
A_K_Peters%2c_Ltd,1414597
Washington%2c_D.C,330977
Facebook,220525
Jules_Verne,162900
Glee_(TV_series),155498
Wiki,152254
Hlavn%C3%AD_strana,136211
Google,126592
Julio_Verne,116925
Valentine%27s_Day,111088
