category,group,measure
0,All,884151
1,All,4060412
2,All,879335
3,All,767272
4,All,658592
5,All,677518
6,All,781458
7,All,969247
8,All,833658
9,All,918071
10,All,827041
11,All,698484
12,All,713702
13,All,828580
14,All,852279
15,All,854726
16,All,921076
17,All,859335
18,All,795172
19,All,822577
20,All,1084084
21,All,3419414
22,All,1080052
23,All,1124038
24,All,1098786
25,All,1245193
26,All,1367555
27,All,1458535
28,All,1447948
29,All,1181111
0,Facebook,220525
1,Facebook,241468
2,Facebook,254412
3,Facebook,262965
4,Facebook,220943
5,Facebook,238767
6,Facebook,283965
7,Facebook,348778
8,Facebook,202825
9,Facebook,218571
10,Facebook,202978
11,Facebook,180175
12,Facebook,186680
13,Facebook,208609
14,Facebook,207749
15,Facebook,216139
16,Facebook,244660
17,Facebook,220089
18,Facebook,206947
19,Facebook,207814
20,Facebook,216023
21,Facebook,238548
22,Facebook,257156
23,Facebook,289128
24,Facebook,219598
25,Facebook,217737
26,Facebook,264312
27,Facebook,223041
28,Facebook,221988
29,Facebook,231218
0,Hlavn%C3%AD_strana,136211
1,Hlavn%C3%AD_strana,146289
2,Hlavn%C3%AD_strana,143104
3,Hlavn%C3%AD_strana,125036
4,Hlavn%C3%AD_strana,96732
5,Hlavn%C3%AD_strana,94992
6,Hlavn%C3%AD_strana,118863
7,Hlavn%C3%AD_strana,139013
8,Hlavn%C3%AD_strana,146678
9,Hlavn%C3%AD_strana,143981
10,Hlavn%C3%AD_strana,132302
11,Hlavn%C3%AD_strana,101915
12,Hlavn%C3%AD_strana,113948
13,Hlavn%C3%AD_strana,147819
14,Hlavn%C3%AD_strana,147625
15,Hlavn%C3%AD_strana,150273
16,Hlavn%C3%AD_strana,157822
17,Hlavn%C3%AD_strana,143663
18,Hlavn%C3%AD_strana,116643
19,Hlavn%C3%AD_strana,118319
20,Hlavn%C3%AD_strana,151676
21,Hlavn%C3%AD_strana,165915
22,Hlavn%C3%AD_strana,166516
23,Hlavn%C3%AD_strana,165216
24,Hlavn%C3%AD_strana,158025
25,Hlavn%C3%AD_strana,125491
26,Hlavn%C3%AD_strana,124354
27,Hlavn%C3%AD_strana,165123
28,Hlavn%C3%AD_strana,169136
29,Hlavn%C3%AD_strana,175829
0,Mark_Zuckerberg,79451
1,Mark_Zuckerberg,85261
2,Mark_Zuckerberg,82523
3,Mark_Zuckerberg,136255
4,Mark_Zuckerberg,102338
5,Mark_Zuckerberg,72639
6,Mark_Zuckerberg,80530
7,Mark_Zuckerberg,73317
8,Mark_Zuckerberg,92929
9,Mark_Zuckerberg,143294
10,Mark_Zuckerberg,143335
11,Mark_Zuckerberg,82892
12,Mark_Zuckerberg,68774
13,Mark_Zuckerberg,96502
14,Mark_Zuckerberg,104782
15,Mark_Zuckerberg,92032
16,Mark_Zuckerberg,136754
17,Mark_Zuckerberg,152107
18,Mark_Zuckerberg,132896
19,Mark_Zuckerberg,109455
20,Mark_Zuckerberg,116529
21,Mark_Zuckerberg,132660
22,Mark_Zuckerberg,178783
23,Mark_Zuckerberg,260723
24,Mark_Zuckerberg,175401
25,Mark_Zuckerberg,153503
26,Mark_Zuckerberg,134717
27,Mark_Zuckerberg,147235
28,Mark_Zuckerberg,158011
29,Mark_Zuckerberg,108931
0,Jules_Verne,162900
1,Jules_Verne,3268017
2,Jules_Verne,119219
3,Jules_Verne,0
4,Jules_Verne,0
5,Jules_Verne,0
6,Jules_Verne,0
7,Jules_Verne,0
8,Jules_Verne,0
9,Jules_Verne,0
10,Jules_Verne,0
11,Jules_Verne,0
12,Jules_Verne,0
13,Jules_Verne,0
14,Jules_Verne,286
15,Jules_Verne,7473
16,Jules_Verne,0
17,Jules_Verne,0
18,Jules_Verne,0
19,Jules_Verne,0
20,Jules_Verne,0
21,Jules_Verne,0
22,Jules_Verne,0
23,Jules_Verne,0
24,Jules_Verne,0
25,Jules_Verne,0
26,Jules_Verne,218
27,Jules_Verne,0
28,Jules_Verne,204
29,Jules_Verne,0
0,Google,126592
1,Google,145936
2,Google,119604
3,Google,97143
4,Google,94439
5,Google,107161
6,Google,112088
7,Google,107929
8,Google,101797
9,Google,110718
10,Google,85670
11,Google,84332
12,Google,88992
13,Google,97287
14,Google,102829
15,Google,95853
16,Google,92773
17,Google,83768
18,Google,83413
19,Google,120448
20,Google,109587
21,Google,106142
22,Google,103610
23,Google,99071
24,Google,89036
25,Google,81081
26,Google,103890
27,Google,107763
28,Google,114182
29,Google,112465
0,Paul_C%C3%A9zanne,0
1,Paul_C%C3%A9zanne,0
2,Paul_C%C3%A9zanne,201
3,Paul_C%C3%A9zanne,0
4,Paul_C%C3%A9zanne,0
5,Paul_C%C3%A9zanne,0
6,Paul_C%C3%A9zanne,0
7,Paul_C%C3%A9zanne,0
8,Paul_C%C3%A9zanne,0
9,Paul_C%C3%A9zanne,214
10,Paul_C%C3%A9zanne,0
11,Paul_C%C3%A9zanne,0
12,Paul_C%C3%A9zanne,0
13,Paul_C%C3%A9zanne,0
14,Paul_C%C3%A9zanne,891
15,Paul_C%C3%A9zanne,2204
16,Paul_C%C3%A9zanne,2606
17,Paul_C%C3%A9zanne,2026
18,Paul_C%C3%A9zanne,413
19,Paul_C%C3%A9zanne,4059
20,Paul_C%C3%A9zanne,210345
21,Paul_C%C3%A9zanne,2482968
22,Paul_C%C3%A9zanne,74779
23,Paul_C%C3%A9zanne,223
24,Paul_C%C3%A9zanne,0
25,Paul_C%C3%A9zanne,0
26,Paul_C%C3%A9zanne,0
27,Paul_C%C3%A9zanne,259
28,Paul_C%C3%A9zanne,0
29,Paul_C%C3%A9zanne,0
0,Ngai.cc,333
1,Ngai.cc,931
2,Ngai.cc,1891
3,Ngai.cc,3666
4,Ngai.cc,5013
5,Ngai.cc,9356
6,Ngai.cc,27386
7,Ngai.cc,130887
8,Ngai.cc,134267
9,Ngai.cc,135986
10,Ngai.cc,120469
11,Ngai.cc,112101
12,Ngai.cc,115403
13,Ngai.cc,120746
14,Ngai.cc,119226
15,Ngai.cc,122275
16,Ngai.cc,112336
17,Ngai.cc,96740
18,Ngai.cc,103918
19,Ngai.cc,106136
20,Ngai.cc,100327
21,Ngai.cc,107207
22,Ngai.cc,102274
23,Ngai.cc,97253
24,Ngai.cc,96558
25,Ngai.cc,96230
26,Ngai.cc,100975
27,Ngai.cc,103223
28,Ngai.cc,100690
29,Ngai.cc,98356
0,Main%20Page,0
1,Main%20Page,0
2,Main%20Page,0
3,Main%20Page,0
4,Main%20Page,0
5,Main%20Page,0
6,Main%20Page,0
7,Main%20Page,0
8,Main%20Page,0
9,Main%20Page,0
10,Main%20Page,0
11,Main%20Page,0
12,Main%20Page,0
13,Main%20Page,0
14,Main%20Page,0
15,Main%20Page,0
16,Main%20Page,0
17,Main%20Page,0
18,Main%20Page,0
19,Main%20Page,0
20,Main%20Page,0
21,Main%20Page,1413
22,Main%20Page,10263
23,Main%20Page,21483
24,Main%20Page,180230
25,Main%20Page,418826
26,Main%20Page,476055
27,Main%20Page,519849
28,Main%20Page,496263
29,Main%20Page,267499
0,Ana_Sayfa,78111
1,Ana_Sayfa,83838
2,Ana_Sayfa,75143
3,Ana_Sayfa,67686
4,Ana_Sayfa,68431
5,Ana_Sayfa,74679
6,Ana_Sayfa,78514
7,Ana_Sayfa,87526
8,Ana_Sayfa,71479
9,Ana_Sayfa,78473
10,Ana_Sayfa,62962
11,Ana_Sayfa,61779
12,Ana_Sayfa,63834
13,Ana_Sayfa,74215
14,Ana_Sayfa,81264
15,Ana_Sayfa,80421
16,Ana_Sayfa,85664
17,Ana_Sayfa,81412
18,Ana_Sayfa,76627
19,Ana_Sayfa,77254
20,Ana_Sayfa,98952
21,Ana_Sayfa,101972
22,Ana_Sayfa,102526
23,Ana_Sayfa,98536
