category,measure
All,35256442.0
Facebook,7159220
Hlavn%C3%AD_strana,4364644
Mark_Zuckerberg,3761767
Jules_Verne,3558584
Google,3199038
Paul_C%C3%A9zanne,2781603
Ngai.cc,2679989
Main%20Page,2629055
Ana_Sayfa,2602013
Accueil,2520529
