category,group,measure
0,All,37940
1,All,37005
2,All,45346
3,All,89269
4,All,120106
5,All,115713
6,All,97104
7,All,102896
8,All,140693
9,All,199746
10,All,266135
11,All,295347
12,All,294527
13,All,246670
14,All,18666
15,All,20929
16,All,24020
17,All,25019
18,All,24645
19,All,27025
20,All,26181
21,All,23451
22,All,20546
23,All,17608
0,A_K_Peters%2c_Ltd,0
1,A_K_Peters%2c_Ltd,0
2,A_K_Peters%2c_Ltd,0
3,A_K_Peters%2c_Ltd,49996
4,A_K_Peters%2c_Ltd,92435
5,A_K_Peters%2c_Ltd,92528
6,A_K_Peters%2c_Ltd,75958
7,A_K_Peters%2c_Ltd,87471
8,A_K_Peters%2c_Ltd,124380
9,A_K_Peters%2c_Ltd,185185
10,A_K_Peters%2c_Ltd,182458
11,A_K_Peters%2c_Ltd,186488
12,A_K_Peters%2c_Ltd,184732
13,A_K_Peters%2c_Ltd,152966
14,A_K_Peters%2c_Ltd,0
15,A_K_Peters%2c_Ltd,0
16,A_K_Peters%2c_Ltd,0
17,A_K_Peters%2c_Ltd,0
18,A_K_Peters%2c_Ltd,0
19,A_K_Peters%2c_Ltd,0
20,A_K_Peters%2c_Ltd,0
21,A_K_Peters%2c_Ltd,0
22,A_K_Peters%2c_Ltd,0
23,A_K_Peters%2c_Ltd,0
0,Washington%2c_D.C,0
1,Washington%2c_D.C,0
2,Washington%2c_D.C,0
3,Washington%2c_D.C,0
4,Washington%2c_D.C,0
5,Washington%2c_D.C,0
6,Washington%2c_D.C,0
7,Washington%2c_D.C,0
8,Washington%2c_D.C,0
9,Washington%2c_D.C,0
10,Washington%2c_D.C,68663
11,Washington%2c_D.C,93050
12,Washington%2c_D.C,92789
13,Washington%2c_D.C,76475
14,Washington%2c_D.C,0
15,Washington%2c_D.C,0
16,Washington%2c_D.C,0
17,Washington%2c_D.C,0
18,Washington%2c_D.C,0
19,Washington%2c_D.C,0
20,Washington%2c_D.C,0
21,Washington%2c_D.C,0
22,Washington%2c_D.C,0
23,Washington%2c_D.C,0
0,Facebook,446
1,Facebook,648
2,Facebook,718
3,Facebook,212
4,Facebook,1053
5,Facebook,213
6,Facebook,219
7,Facebook,218
8,Facebook,226
9,Facebook,219
10,Facebook,282
11,Facebook,343
12,Facebook,546
13,Facebook,333
14,Facebook,338
15,Facebook,299
16,Facebook,300
17,Facebook,275
18,Facebook,306
19,Facebook,291
20,Facebook,316
21,Facebook,294
22,Facebook,292
23,Facebook,492
0,Jules_Verne,232
1,Jules_Verne,1034
2,Jules_Verne,949
3,Jules_Verne,711
4,Jules_Verne,532
5,Jules_Verne,336
6,Jules_Verne,1958
7,Jules_Verne,960
8,Jules_Verne,699
9,Jules_Verne,642
10,Jules_Verne,632
11,Jules_Verne,536
12,Jules_Verne,609
13,Jules_Verne,710
14,Jules_Verne,221
15,Jules_Verne,206
16,Jules_Verne,1261
17,Jules_Verne,1331
18,Jules_Verne,255
19,Jules_Verne,909
20,Jules_Verne,703
21,Jules_Verne,736
22,Jules_Verne,576
23,Jules_Verne,486
0,Glee_(TV_series),5446
1,Glee_(TV_series),5981
2,Glee_(TV_series),16824
3,Glee_(TV_series),13900
4,Glee_(TV_series),8625
5,Glee_(TV_series),10109
6,Glee_(TV_series),7534
7,Glee_(TV_series),4878
8,Glee_(TV_series),3709
9,Glee_(TV_series),3229
10,Glee_(TV_series),2995
11,Glee_(TV_series),3071
12,Glee_(TV_series),3027
13,Glee_(TV_series),3718
14,Glee_(TV_series),4544
15,Glee_(TV_series),4863
16,Glee_(TV_series),5621
17,Glee_(TV_series),6066
18,Glee_(TV_series),6120
19,Glee_(TV_series),6549
20,Glee_(TV_series),7063
21,Glee_(TV_series),7004
22,Glee_(TV_series),7602
23,Glee_(TV_series),7020
0,Wiki,280
1,Wiki,208
2,Wiki,218
3,Wiki,238
4,Wiki,368
5,Wiki,261
6,Wiki,245
7,Wiki,274
8,Wiki,303
9,Wiki,240
10,Wiki,216
11,Wiki,271
12,Wiki,238
13,Wiki,209
14,Wiki,262
15,Wiki,290
16,Wiki,228
17,Wiki,234
18,Wiki,208
19,Wiki,249
20,Wiki,214
21,Wiki,270
22,Wiki,233
23,Wiki,495
0,Hlavn%C3%AD_strana,1581
1,Hlavn%C3%AD_strana,955
2,Hlavn%C3%AD_strana,519
3,Hlavn%C3%AD_strana,352
