category,measure
All,35435787.0
Facebook,7143040
Hlavn%C3%AD_strana,4406139
Mark_Zuckerberg,3810877
Jules_Verne,3396119
Google,3146405
Main%20Page,2826691
Paul_C%C3%A9zanne,2781603
Ngai.cc,2776418
Ana_Sayfa,2629448
Accueil,2519047
