category,measure
All,7657078.0
Jules_Verne,3268017
A_K_Peters%2c_Ltd,1573782
Salvatore_Ferragamo_Italia_S.p.A,589412
Oliver_Wendell_Holmes%2c_Jr,587168
Julio_Verne,515448
J%C3%BAlio_Verne,368111
Facebook,241468
Gary_Moore,191558
Wiki,161701
John_Paul_Getty_III,160413
