category,group,measure
0,All,7539
1,All,48611
2,All,102071
3,All,121239
4,All,160870
5,All,240637
6,All,246757
7,All,245973
8,All,232653
9,All,268501
10,All,338435
11,All,349942
12,All,359250
13,All,371361
14,All,112427
15,All,68901
16,All,71129
17,All,69237
18,All,88943
19,All,82588
20,All,78016
21,All,74835
22,All,65702
23,All,45555
0,Jules_Verne,773
1,Jules_Verne,2764
2,Jules_Verne,5013
3,Jules_Verne,4963
4,Jules_Verne,4534
5,Jules_Verne,4205
6,Jules_Verne,3743
7,Jules_Verne,3506
8,Jules_Verne,3051
9,Jules_Verne,2988
10,Jules_Verne,2978
11,Jules_Verne,3034
12,Jules_Verne,2631
13,Jules_Verne,3032
14,Jules_Verne,3310
15,Jules_Verne,2859
16,Jules_Verne,2001
17,Jules_Verne,1117
18,Jules_Verne,11839
19,Jules_Verne,10191
20,Jules_Verne,8748
21,Jules_Verne,6891
22,Jules_Verne,7670
23,Jules_Verne,386
0,A_K_Peters%2c_Ltd,0
1,A_K_Peters%2c_Ltd,36759
2,A_K_Peters%2c_Ltd,90826
3,A_K_Peters%2c_Ltd,90337
4,A_K_Peters%2c_Ltd,91873
5,A_K_Peters%2c_Ltd,93255
6,A_K_Peters%2c_Ltd,96637
7,A_K_Peters%2c_Ltd,95649
8,A_K_Peters%2c_Ltd,91730
9,A_K_Peters%2c_Ltd,122718
10,A_K_Peters%2c_Ltd,185098
11,A_K_Peters%2c_Ltd,182759
12,A_K_Peters%2c_Ltd,184752
13,A_K_Peters%2c_Ltd,185854
14,A_K_Peters%2c_Ltd,25535
15,A_K_Peters%2c_Ltd,0
16,A_K_Peters%2c_Ltd,0
17,A_K_Peters%2c_Ltd,0
18,A_K_Peters%2c_Ltd,0
19,A_K_Peters%2c_Ltd,0
20,A_K_Peters%2c_Ltd,0
21,A_K_Peters%2c_Ltd,0
22,A_K_Peters%2c_Ltd,0
23,A_K_Peters%2c_Ltd,0
0,Salvatore_Ferragamo_Italia_S.p.A,0
1,Salvatore_Ferragamo_Italia_S.p.A,0
2,Salvatore_Ferragamo_Italia_S.p.A,0
3,Salvatore_Ferragamo_Italia_S.p.A,0
4,Salvatore_Ferragamo_Italia_S.p.A,21144
5,Salvatore_Ferragamo_Italia_S.p.A,62098
6,Salvatore_Ferragamo_Italia_S.p.A,64705
7,Salvatore_Ferragamo_Italia_S.p.A,63573
8,Salvatore_Ferragamo_Italia_S.p.A,61336
9,Salvatore_Ferragamo_Italia_S.p.A,62044
10,Salvatore_Ferragamo_Italia_S.p.A,61955
11,Salvatore_Ferragamo_Italia_S.p.A,61049
12,Salvatore_Ferragamo_Italia_S.p.A,61316
13,Salvatore_Ferragamo_Italia_S.p.A,61743
14,Salvatore_Ferragamo_Italia_S.p.A,8449
15,Salvatore_Ferragamo_Italia_S.p.A,0
