category,group,measure
0,All,4060412
1,All,879335
2,All,767272
3,All,658592
4,All,677518
5,All,781458
6,All,969247
7,All,833658
8,All,918071
9,All,827041
10,All,698484
11,All,713702
12,All,828580
13,All,852279
14,All,854726
15,All,921076
16,All,859335
17,All,795172
18,All,822577
19,All,1084084
20,All,3419414
21,All,1080052
22,All,1124038
23,All,1098786
24,All,1245193
25,All,1367555
26,All,1458535
27,All,1447948
28,All,1181111
29,All,1147040
0,Facebook,241468
1,Facebook,254412
2,Facebook,262965
3,Facebook,220943
4,Facebook,238767
5,Facebook,283965
6,Facebook,348778
7,Facebook,202825
8,Facebook,218571
9,Facebook,202978
10,Facebook,180175
11,Facebook,186680
12,Facebook,208609
13,Facebook,207749
14,Facebook,216139
15,Facebook,244660
16,Facebook,220089
17,Facebook,206947
18,Facebook,207814
19,Facebook,216023
20,Facebook,238548
21,Facebook,257156
22,Facebook,289128
23,Facebook,219598
24,Facebook,217737
25,Facebook,264312
26,Facebook,223041
27,Facebook,221988
28,Facebook,231218
29,Facebook,205412
0,Hlavn%C3%AD_strana,146289
1,Hlavn%C3%AD_strana,143104
2,Hlavn%C3%AD_strana,125036
3,Hlavn%C3%AD_strana,96732
4,Hlavn%C3%AD_strana,94992
5,Hlavn%C3%AD_strana,118863
6,Hlavn%C3%AD_strana,139013
7,Hlavn%C3%AD_strana,146678
8,Hlavn%C3%AD_strana,143981
9,Hlavn%C3%AD_strana,132302
10,Hlavn%C3%AD_strana,101915
11,Hlavn%C3%AD_strana,113948
12,Hlavn%C3%AD_strana,147819
13,Hlavn%C3%AD_strana,147625
14,Hlavn%C3%AD_strana,150273
15,Hlavn%C3%AD_strana,157822
16,Hlavn%C3%AD_strana,143663
17,Hlavn%C3%AD_strana,116643
18,Hlavn%C3%AD_strana,118319
19,Hlavn%C3%AD_strana,151676
20,Hlavn%C3%AD_strana,165915
21,Hlavn%C3%AD_strana,166516
22,Hlavn%C3%AD_strana,165216
23,Hlavn%C3%AD_strana,158025
24,Hlavn%C3%AD_strana,125491
25,Hlavn%C3%AD_strana,124354
26,Hlavn%C3%AD_strana,165123
27,Hlavn%C3%AD_strana,169136
28,Hlavn%C3%AD_strana,175829
29,Hlavn%C3%AD_strana,176135
0,Mark_Zuckerberg,85261
1,Mark_Zuckerberg,82523
2,Mark_Zuckerberg,136255
3,Mark_Zuckerberg,102338
4,Mark_Zuckerberg,72639
5,Mark_Zuckerberg,80530
6,Mark_Zuckerberg,73317
7,Mark_Zuckerberg,92929
8,Mark_Zuckerberg,143294
9,Mark_Zuckerberg,143335
10,Mark_Zuckerberg,82892
11,Mark_Zuckerberg,68774
12,Mark_Zuckerberg,96502
13,Mark_Zuckerberg,104782
14,Mark_Zuckerberg,92032
15,Mark_Zuckerberg,136754
16,Mark_Zuckerberg,152107
17,Mark_Zuckerberg,132896
18,Mark_Zuckerberg,109455
19,Mark_Zuckerberg,116529
20,Mark_Zuckerberg,132660
21,Mark_Zuckerberg,178783
22,Mark_Zuckerberg,260723
