category,measure
All,34923245.0
Facebook,6824084
Hlavn%C3%AD_strana,4494546
Mark_Zuckerberg,3752321
Ngai.cc,3153617
Main%20Page,3047816
Google,3021629
Paul_C%C3%A9zanne,2781402
Ana_Sayfa,2742904
How_I_Met_Your_Mother,2575343
Accueil,2529583
