category,group,measure
0,All,341511
1,All,342129
2,All,353627
3,All,341236
4,All,348870
5,All,346424
6,All,207118
7,All,28651
8,All,245368
9,All,319624
10,All,321247
11,All,322068
12,All,405686
13,All,412336
14,All,406819
15,All,397886
16,All,392794
17,All,386260
18,All,390504
19,All,389445
20,All,489023
21,All,36329
22,All,36232
23,All,35765
0,A_K_Peters%2c_Ltd,179671
1,A_K_Peters%2c_Ltd,180696
2,A_K_Peters%2c_Ltd,187593
3,A_K_Peters%2c_Ltd,181114
4,A_K_Peters%2c_Ltd,185449
5,A_K_Peters%2c_Ltd,184456
6,A_K_Peters%2c_Ltd,109661
7,A_K_Peters%2c_Ltd,21476
8,A_K_Peters%2c_Ltd,238414
9,A_K_Peters%2c_Ltd,285122
10,A_K_Peters%2c_Ltd,285816
11,A_K_Peters%2c_Ltd,286720
12,A_K_Peters%2c_Ltd,369828
13,A_K_Peters%2c_Ltd,376895
14,A_K_Peters%2c_Ltd,370843
15,A_K_Peters%2c_Ltd,362130
16,A_K_Peters%2c_Ltd,357148
17,A_K_Peters%2c_Ltd,350888
18,A_K_Peters%2c_Ltd,354915
19,A_K_Peters%2c_Ltd,354503
20,A_K_Peters%2c_Ltd,243900
21,A_K_Peters%2c_Ltd,0
22,A_K_Peters%2c_Ltd,0
23,A_K_Peters%2c_Ltd,0
0,Washington%2c_D.C,60053
1,Washington%2c_D.C,60380
2,Washington%2c_D.C,62555
3,Washington%2c_D.C,60501
4,Washington%2c_D.C,61948
5,Washington%2c_D.C,61845
6,Washington%2c_D.C,36705
7,Washington%2c_D.C,0
8,Washington%2c_D.C,0
9,Washington%2c_D.C,28036
10,Washington%2c_D.C,31801
11,Washington%2c_D.C,31770
12,Washington%2c_D.C,31702
13,Washington%2c_D.C,31320
14,Washington%2c_D.C,30885
15,Washington%2c_D.C,30211
16,Washington%2c_D.C,29942
17,Washington%2c_D.C,29183
18,Washington%2c_D.C,29618
19,Washington%2c_D.C,29319
20,Washington%2c_D.C,20325
21,Washington%2c_D.C,28976
22,Washington%2c_D.C,30445
23,Washington%2c_D.C,30933
0,Facebook,204
1,Facebook,573
2,Facebook,642
3,Facebook,747
4,Facebook,802
5,Facebook,660
6,Facebook,639
7,Facebook,201
8,Facebook,264
9,Facebook,233
10,Facebook,247
11,Facebook,350
12,Facebook,379
13,Facebook,364
14,Facebook,404
15,Facebook,430
16,Facebook,411
17,Facebook,357
18,Facebook,411
19,Facebook,419
20,Facebook,370
21,Facebook,403
22,Facebook,372
23,Facebook,235
0,K%C3%B6chelverzeichnis,0
1,K%C3%B6chelverzeichnis,0
2,K%C3%B6chelverzeichnis,0
3,K%C3%B6chelverzeichnis,0
4,K%C3%B6chelverzeichnis,0
5,K%C3%B6chelverzeichnis,0
6,K%C3%B6chelverzeichnis,0
7,K%C3%B6chelverzeichnis,0
8,K%C3%B6chelverzeichnis,0
9,K%C3%B6chelverzeichnis,0
10,K%C3%B6chelverzeichnis,0
11,K%C3%B6chelverzeichnis,0
12,K%C3%B6chelverzeichnis,0
13,K%C3%B6chelverzeichnis,0
14,K%C3%B6chelverzeichnis,0
15,K%C3%B6chelverzeichnis,0
16,K%C3%B6chelverzeichnis,0
17,K%C3%B6chelverzeichnis,0
18,K%C3%B6chelverzeichnis,0
19,K%C3%B6chelverzeichnis,0
20,K%C3%B6chelverzeichnis,217449
21,K%C3%B6chelverzeichnis,2269
22,K%C3%B6chelverzeichnis,927
23,K%C3%B6chelverzeichnis,414
0,Warner_Bros,30067
1,Warner_Bros,30095
2,Warner_Bros,31479
3,Warner_Bros,30326
4,Warner_Bros,30991
5,Warner_Bros,30859
6,Warner_Bros,18293
7,Warner_Bros,0
8,Warner_Bros,0
9,Warner_Bros,0
10,Warner_Bros,0
11,Warner_Bros,0
12,Warner_Bros,0
13,Warner_Bros,0
14,Warner_Bros,0
15,Warner_Bros,0
16,Warner_Bros,0
17,Warner_Bros,0
18,Warner_Bros,0
19,Warner_Bros,0
20,Warner_Bros,0
21,Warner_Bros,0
22,Warner_Bros,0
23,Warner_Bros,0
0,Bloomberg_L.P,30078
1,Bloomberg_L.P,30131
2,Bloomberg_L.P,31167
3,Bloomberg_L.P,30216
4,Bloomberg_L.P,30864
5,Bloomberg_L.P,30823
6,Bloomberg_L.P,18238
7,Bloomberg_L.P,0
8,Bloomberg_L.P,0
9,Bloomberg_L.P,0
10,Bloomberg_L.P,0
