category,measure
All,7744993.0
A_K_Peters%2c_Ltd,5467238
Washington%2c_D.C,848453
Facebook,238767
K%C3%B6chelverzeichnis,222435
Warner_Bros,202110
Bloomberg_L.P,201517
Needing_You,201450
Wiki,130335
Chinese_New_Year,122424
Hosni_Mubarak,110264
