category,measure
All,34927600.0
Facebook,7162770
Hlavn%C3%AD_strana,4321925
Mark_Zuckerberg,3702140
Jules_Verne,3568123
Google,3205574
Paul_C%C3%A9zanne,2781188
Ngai.cc,2582159
Ana_Sayfa,2577528
United_States,2514823
Accueil,2511370
