category,measure
All,3036200.0
A_K_Peters%2c_Ltd,1839382
Facebook,208962
Wiki,151205
Spain,140041
Hlavn%C3%AD_strana,133416
Valentine%27s_Day,127688
Google,119975
Hosni_Mubarak,112229
,103145
Justin_Bieber,100157
