category,group,measure
0,All,24685
1,All,102610
2,All,163683
3,All,192747
4,All,166603
5,All,168911
6,All,169783
7,All,170524
8,All,173383
9,All,173246
10,All,194620
11,All,176831
12,All,163817
13,All,19470
14,All,19792
15,All,20429
16,All,21428
17,All,23223
18,All,23560
19,All,23832
20,All,40005
21,All,113465
22,All,50015
23,All,15093
0,A_K_Peters%2c_Ltd,12333
1,A_K_Peters%2c_Ltd,89809
2,A_K_Peters%2c_Ltd,150201
3,A_K_Peters%2c_Ltd,179937
4,A_K_Peters%2c_Ltd,153464
5,A_K_Peters%2c_Ltd,156988
6,A_K_Peters%2c_Ltd,157832
7,A_K_Peters%2c_Ltd,152713
8,A_K_Peters%2c_Ltd,156731
9,A_K_Peters%2c_Ltd,156205
10,A_K_Peters%2c_Ltd,156630
11,A_K_Peters%2c_Ltd,155852
12,A_K_Peters%2c_Ltd,142365
13,A_K_Peters%2c_Ltd,0
14,A_K_Peters%2c_Ltd,0
15,A_K_Peters%2c_Ltd,0
16,A_K_Peters%2c_Ltd,0
17,A_K_Peters%2c_Ltd,0
18,A_K_Peters%2c_Ltd,0
19,A_K_Peters%2c_Ltd,0
20,A_K_Peters%2c_Ltd,0
21,A_K_Peters%2c_Ltd,18322
22,A_K_Peters%2c_Ltd,0
23,A_K_Peters%2c_Ltd,0
0,Facebook,669
1,Facebook,764
2,Facebook,1010
3,Facebook,1063
4,Facebook,1633
5,Facebook,1041
6,Facebook,857
7,Facebook,1045
8,Facebook,236
9,Facebook,260
10,Facebook,255
11,Facebook,268
12,Facebook,302
13,Facebook,310
14,Facebook,327
15,Facebook,332
16,Facebook,290
17,Facebook,322
18,Facebook,326
19,Facebook,308
20,Facebook,276
21,Facebook,457
22,Facebook,277
23,Facebook,236
0,Wiki,327
1,Wiki,225
2,Wiki,416
3,Wiki,238
4,Wiki,332
5,Wiki,221
6,Wiki,253
7,Wiki,273
8,Wiki,250
9,Wiki,240
10,Wiki,214
11,Wiki,279
12,Wiki,232
13,Wiki,246
14,Wiki,280
15,Wiki,325
16,Wiki,285
17,Wiki,277
18,Wiki,202
19,Wiki,226
20,Wiki,224
21,Wiki,221
22,Wiki,272
23,Wiki,451
0,Spain,776
1,Spain,705
2,Spain,706
3,Spain,750
4,Spain,688
5,Spain,646
6,Spain,559
7,Spain,575
8,Spain,509
9,Spain,607
10,Spain,709
11,Spain,723
12,Spain,799
13,Spain,817
14,Spain,875
15,Spain,1071
16,Spain,988
17,Spain,1107
18,Spain,1051
