category,measure
All,3954391.0
A_K_Peters%2c_Ltd,1385091
Gary_Moore,507614
UFC_126,355545
Super_Bowl_XLV,332528
Monica_Lierhaus,315078
Facebook,262965
The_Venture_Bros,227066
Super_Bowl,209757
Green_Bay_Packers,188728
Anderson_Silva,170019
