category,measure
All,34657965.0
Facebook,6971307
Hlavn%C3%AD_strana,4383325
Mark_Zuckerberg,3823875
Main%20Page,3047816
Google,3044981
Ngai.cc,2968178
Paul_C%C3%A9zanne,2781402
Ana_Sayfa,2650304
Accueil,2500743
How_I_Met_Your_Mother,2486034
