category,group,measure
0,All,816436
1,All,819697
2,All,714480
3,All,732286
4,All,858287
5,All,1054242
6,All,909060
7,All,980321
8,All,879534
9,All,750943
10,All,765701
11,All,899186
12,All,943558
13,All,945948
14,All,1003458
15,All,935622
16,All,866047
17,All,889466
18,All,1171431
19,All,3530749
20,All,1185223
21,All,1205709
22,All,1177659
23,All,1324232
24,All,1444357
25,All,1560355
26,All,1572587
27,All,1305657
28,All,1234604
29,All,1144005
0,Facebook,254412
1,Facebook,262965
2,Facebook,220943
3,Facebook,238767
4,Facebook,283965
5,Facebook,348778
6,Facebook,202825
7,Facebook,218571
8,Facebook,202978
9,Facebook,180175
10,Facebook,186680
11,Facebook,208609
12,Facebook,207749
13,Facebook,216139
14,Facebook,244660
15,Facebook,220089
16,Facebook,206947
17,Facebook,207814
18,Facebook,216023
19,Facebook,238548
20,Facebook,257156
21,Facebook,289128
22,Facebook,219598
23,Facebook,217737
24,Facebook,264312
25,Facebook,223041
26,Facebook,221988
27,Facebook,231218
28,Facebook,205412
29,Facebook,204345
0,Hlavn%C3%AD_strana,143104
1,Hlavn%C3%AD_strana,125036
2,Hlavn%C3%AD_strana,96732
3,Hlavn%C3%AD_strana,94992
4,Hlavn%C3%AD_strana,118863
5,Hlavn%C3%AD_strana,139013
6,Hlavn%C3%AD_strana,146678
7,Hlavn%C3%AD_strana,143981
8,Hlavn%C3%AD_strana,132302
9,Hlavn%C3%AD_strana,101915
10,Hlavn%C3%AD_strana,113948
11,Hlavn%C3%AD_strana,147819
12,Hlavn%C3%AD_strana,147625
13,Hlavn%C3%AD_strana,150273
14,Hlavn%C3%AD_strana,157822
15,Hlavn%C3%AD_strana,143663
16,Hlavn%C3%AD_strana,116643
17,Hlavn%C3%AD_strana,118319
18,Hlavn%C3%AD_strana,151676
19,Hlavn%C3%AD_strana,165915
20,Hlavn%C3%AD_strana,166516
21,Hlavn%C3%AD_strana,165216
22,Hlavn%C3%AD_strana,158025
23,Hlavn%C3%AD_strana,125491
24,Hlavn%C3%AD_strana,124354
25,Hlavn%C3%AD_strana,165123
26,Hlavn%C3%AD_strana,169136
27,Hlavn%C3%AD_strana,175829
28,Hlavn%C3%AD_strana,176135
29,Hlavn%C3%AD_strana,177706
0,Mark_Zuckerberg,82523
1,Mark_Zuckerberg,136255
2,Mark_Zuckerberg,102338
3,Mark_Zuckerberg,72639
4,Mark_Zuckerberg,80530
5,Mark_Zuckerberg,73317
6,Mark_Zuckerberg,92929
7,Mark_Zuckerberg,143294
8,Mark_Zuckerberg,143335
9,Mark_Zuckerberg,82892
10,Mark_Zuckerberg,68774
11,Mark_Zuckerberg,96502
12,Mark_Zuckerberg,104782
13,Mark_Zuckerberg,92032
14,Mark_Zuckerberg,136754
15,Mark_Zuckerberg,152107
16,Mark_Zuckerberg,132896
17,Mark_Zuckerberg,109455
18,Mark_Zuckerberg,116529
19,Mark_Zuckerberg,132660
20,Mark_Zuckerberg,178783
21,Mark_Zuckerberg,260723
22,Mark_Zuckerberg,175401
23,Mark_Zuckerberg,153503
24,Mark_Zuckerberg,134717
25,Mark_Zuckerberg,147235
26,Mark_Zuckerberg,158011
27,Mark_Zuckerberg,108931
28,Mark_Zuckerberg,127208
29,Mark_Zuckerberg,128561
0,Google,119604
1,Google,97143
2,Google,94439
3,Google,107161
4,Google,112088
5,Google,107929
6,Google,101797
7,Google,110718
8,Google,85670
9,Google,84332
10,Google,88992
11,Google,97287
12,Google,102829
13,Google,95853
14,Google,92773
15,Google,83768
16,Google,83413
17,Google,120448
18,Google,109587
19,Google,106142
20,Google,103610
21,Google,99071
22,Google,89036
23,Google,81081
24,Google,103890
25,Google,107763
26,Google,114182
27,Google,112465
28,Google,113439
29,Google,73959
0,Main%20Page,0
1,Main%20Page,0
2,Main%20Page,0
3,Main%20Page,0
4,Main%20Page,0
5,Main%20Page,0
6,Main%20Page,0
7,Main%20Page,0
8,Main%20Page,0
9,Main%20Page,0
10,Main%20Page,0
11,Main%20Page,0
12,Main%20Page,0
13,Main%20Page,0
14,Main%20Page,0
15,Main%20Page,0
16,Main%20Page,0
17,Main%20Page,0
18,Main%20Page,0
19,Main%20Page,1413
20,Main%20Page,10263
21,Main%20Page,21483
22,Main%20Page,180230
23,Main%20Page,418826
24,Main%20Page,476055
25,Main%20Page,519849
26,Main%20Page,496263
27,Main%20Page,267499
28,Main%20Page,237174
29,Main%20Page,197636
0,Ngai.cc,1891
1,Ngai.cc,3666
2,Ngai.cc,5013
3,Ngai.cc,9356
4,Ngai.cc,27386
5,Ngai.cc,130887
6,Ngai.cc,134267
7,Ngai.cc,135986
8,Ngai.cc,120469
9,Ngai.cc,112101
10,Ngai.cc,115403
11,Ngai.cc,120746
12,Ngai.cc,119226
13,Ngai.cc,122275
14,Ngai.cc,112336
15,Ngai.cc,96740
16,Ngai.cc,103918
17,Ngai.cc,106136
18,Ngai.cc,100327
19,Ngai.cc,107207
20,Ngai.cc,102274
21,Ngai.cc,97253
22,Ngai.cc,96558
23,Ngai.cc,96230
