category,measure
All,34591635.0
Facebook,7053343
Hlavn%C3%AD_strana,4394954
Mark_Zuckerberg,3812985
Google,3075931
Main%20Page,3003333
Ngai.cc,2872963
Paul_C%C3%A9zanne,2781603
Ana_Sayfa,2639127
Accueil,2501192
How_I_Met_Your_Mother,2456204
