category,measure
All,3933893.0
A_K_Peters%2c_Ltd,1416909
Acer_Inc,670424
Washington%2c_D.C,650682
T%C3%BCrkiye%27de_b%C3%BCy%C3%BCk%C5%9Fehir_belediyeleri,260475
Metro_Inc,222317
Facebook,220943
1997_cartoonale_cover1.jpg,172480
Monica_Lierhaus,115244
Mark_Zuckerberg,102338
Wiki,102081
