category,measure
All,34736697.0
Facebook,6873910
Hlavn%C3%AD_strana,4423493
Mark_Zuckerberg,3764906
Ngai.cc,3061044
Main%20Page,3047816
Google,3044208
Paul_C%C3%A9zanne,2781402
Ana_Sayfa,2698379
How_I_Met_Your_Mother,2527582
Accueil,2513957
