category,group,measure
0,All,714480
1,All,732286
2,All,858287
3,All,1054242
4,All,909060
5,All,980321
6,All,879534
7,All,750943
8,All,765701
9,All,899186
10,All,943558
11,All,945948
12,All,1003458
13,All,935622
14,All,866047
15,All,889466
16,All,1171431
17,All,3530749
18,All,1185223
19,All,1205709
20,All,1177659
21,All,1324232
22,All,1444357
23,All,1560355
24,All,1572587
25,All,1305657
26,All,1234604
27,All,1144005
28,All,970795
29,All,882766
0,Facebook,220943
1,Facebook,238767
2,Facebook,283965
3,Facebook,348778
4,Facebook,202825
5,Facebook,218571
6,Facebook,202978
7,Facebook,180175
8,Facebook,186680
9,Facebook,208609
10,Facebook,207749
11,Facebook,216139
12,Facebook,244660
13,Facebook,220089
14,Facebook,206947
15,Facebook,207814
16,Facebook,216023
17,Facebook,238548
18,Facebook,257156
19,Facebook,289128
20,Facebook,219598
21,Facebook,217737
22,Facebook,264312
23,Facebook,223041
24,Facebook,221988
25,Facebook,231218
26,Facebook,205412
27,Facebook,204345
28,Facebook,151771
29,Facebook,172376
0,Hlavn%C3%AD_strana,96732
1,Hlavn%C3%AD_strana,94992
2,Hlavn%C3%AD_strana,118863
3,Hlavn%C3%AD_strana,139013
4,Hlavn%C3%AD_strana,146678
5,Hlavn%C3%AD_strana,143981
6,Hlavn%C3%AD_strana,132302
7,Hlavn%C3%AD_strana,101915
8,Hlavn%C3%AD_strana,113948
9,Hlavn%C3%AD_strana,147819
10,Hlavn%C3%AD_strana,147625
11,Hlavn%C3%AD_strana,150273
12,Hlavn%C3%AD_strana,157822
13,Hlavn%C3%AD_strana,143663
14,Hlavn%C3%AD_strana,116643
15,Hlavn%C3%AD_strana,118319
16,Hlavn%C3%AD_strana,151676
17,Hlavn%C3%AD_strana,165915
18,Hlavn%C3%AD_strana,166516
19,Hlavn%C3%AD_strana,165216
20,Hlavn%C3%AD_strana,158025
21,Hlavn%C3%AD_strana,125491
22,Hlavn%C3%AD_strana,124354
23,Hlavn%C3%AD_strana,165123
24,Hlavn%C3%AD_strana,169136
25,Hlavn%C3%AD_strana,175829
26,Hlavn%C3%AD_strana,176135
27,Hlavn%C3%AD_strana,177706
28,Hlavn%C3%AD_strana,135104
29,Hlavn%C3%AD_strana,131475
0,Mark_Zuckerberg,102338
1,Mark_Zuckerberg,72639
2,Mark_Zuckerberg,80530
3,Mark_Zuckerberg,73317
4,Mark_Zuckerberg,92929
5,Mark_Zuckerberg,143294
6,Mark_Zuckerberg,143335
7,Mark_Zuckerberg,82892
8,Mark_Zuckerberg,68774
9,Mark_Zuckerberg,96502
10,Mark_Zuckerberg,104782
11,Mark_Zuckerberg,92032
12,Mark_Zuckerberg,136754
13,Mark_Zuckerberg,152107
14,Mark_Zuckerberg,132896
15,Mark_Zuckerberg,109455
16,Mark_Zuckerberg,116529
17,Mark_Zuckerberg,132660
18,Mark_Zuckerberg,178783
19,Mark_Zuckerberg,260723
20,Mark_Zuckerberg,175401
21,Mark_Zuckerberg,153503
22,Mark_Zuckerberg,134717
23,Mark_Zuckerberg,147235
24,Mark_Zuckerberg,158011
25,Mark_Zuckerberg,108931
26,Mark_Zuckerberg,127208
27,Mark_Zuckerberg,128561
28,Mark_Zuckerberg,87369
29,Mark_Zuckerberg,93413
0,Ngai.cc,5013
1,Ngai.cc,9356
2,Ngai.cc,27386
3,Ngai.cc,130887
4,Ngai.cc,134267
5,Ngai.cc,135986
6,Ngai.cc,120469
7,Ngai.cc,112101
8,Ngai.cc,115403
9,Ngai.cc,120746
10,Ngai.cc,119226
11,Ngai.cc,122275
12,Ngai.cc,112336
13,Ngai.cc,96740
14,Ngai.cc,103918
15,Ngai.cc,106136
16,Ngai.cc,100327
17,Ngai.cc,107207
18,Ngai.cc,102274
19,Ngai.cc,97253
20,Ngai.cc,96558
21,Ngai.cc,96230
22,Ngai.cc,100975
23,Ngai.cc,103223
24,Ngai.cc,100690
25,Ngai.cc,98356
26,Ngai.cc,97830
27,Ngai.cc,96762
28,Ngai.cc,97476
29,Ngai.cc,97106
0,Main%20Page,0
1,Main%20Page,0
2,Main%20Page,0
3,Main%20Page,0
4,Main%20Page,0
5,Main%20Page,0
6,Main%20Page,0
7,Main%20Page,0
8,Main%20Page,0
9,Main%20Page,0
10,Main%20Page,0
11,Main%20Page,0
12,Main%20Page,0
13,Main%20Page,0
14,Main%20Page,0
15,Main%20Page,0
16,Main%20Page,0
17,Main%20Page,1413
18,Main%20Page,10263
19,Main%20Page,21483
20,Main%20Page,180230
21,Main%20Page,418826
22,Main%20Page,476055
23,Main%20Page,519849
24,Main%20Page,496263
25,Main%20Page,267499
26,Main%20Page,237174
27,Main%20Page,197636
28,Main%20Page,176642
29,Main%20Page,44483
0,Google,94439
1,Google,107161
2,Google,112088
3,Google,107929
4,Google,101797
5,Google,110718
6,Google,85670
7,Google,84332
8,Google,88992
9,Google,97287
10,Google,102829
11,Google,95853
12,Google,92773
13,Google,83768
14,Google,83413
15,Google,120448
16,Google,109587
17,Google,106142
18,Google,103610
19,Google,99071
20,Google,89036
21,Google,81081
22,Google,103890
23,Google,107763
24,Google,114182
25,Google,112465
26,Google,113439
27,Google,73959
28,Google,75462
29,Google,88654
0,Paul_C%C3%A9zanne,0
1,Paul_C%C3%A9zanne,0
2,Paul_C%C3%A9zanne,0
3,Paul_C%C3%A9zanne,0
4,Paul_C%C3%A9zanne,0
