category,measure
All,35230942.0
Facebook,6668095
Hlavn%C3%AD_strana,4615321
Mark_Zuckerberg,3843670
Ngai.cc,3308226
Main%20Page,3047816
Google,2954057
Ana_Sayfa,2815786
Paul_C%C3%A9zanne,2781402
How_I_Met_Your_Mother,2654290
Accueil,2542279
