category,group,measure
0,All,16584
1,All,17984
2,All,18197
3,All,17276
4,All,18137
5,All,36030
6,All,110562
7,All,115864
8,All,132519
9,All,134801
10,All,133351
11,All,242043
12,All,251597
13,All,271771
14,All,281142
15,All,278103
16,All,280575
17,All,338883
18,All,371056
19,All,273699
20,All,232262
21,All,239898
22,All,40870
23,All,21511
0,A_K_Peters%2c_Ltd,0
1,A_K_Peters%2c_Ltd,0
2,A_K_Peters%2c_Ltd,0
3,A_K_Peters%2c_Ltd,0
4,A_K_Peters%2c_Ltd,0
5,A_K_Peters%2c_Ltd,18379
6,A_K_Peters%2c_Ltd,94003
7,A_K_Peters%2c_Ltd,94045
8,A_K_Peters%2c_Ltd,95087
9,A_K_Peters%2c_Ltd,94003
10,A_K_Peters%2c_Ltd,92634
11,A_K_Peters%2c_Ltd,93352
12,A_K_Peters%2c_Ltd,93889
13,A_K_Peters%2c_Ltd,92172
14,A_K_Peters%2c_Ltd,92524
15,A_K_Peters%2c_Ltd,90895
16,A_K_Peters%2c_Ltd,90516
17,A_K_Peters%2c_Ltd,145183
18,A_K_Peters%2c_Ltd,181141
19,A_K_Peters%2c_Ltd,130079
20,A_K_Peters%2c_Ltd,109875
21,A_K_Peters%2c_Ltd,115543
22,A_K_Peters%2c_Ltd,8102
23,A_K_Peters%2c_Ltd,0
0,George_DeTitta%2c_Jr,0
1,George_DeTitta%2c_Jr,0
2,George_DeTitta%2c_Jr,0
3,George_DeTitta%2c_Jr,0
4,George_DeTitta%2c_Jr,0
5,George_DeTitta%2c_Jr,0
6,George_DeTitta%2c_Jr,0
7,George_DeTitta%2c_Jr,0
8,George_DeTitta%2c_Jr,0
9,George_DeTitta%2c_Jr,0
10,George_DeTitta%2c_Jr,0
11,George_DeTitta%2c_Jr,115090
12,George_DeTitta%2c_Jr,125001
13,George_DeTitta%2c_Jr,123117
14,George_DeTitta%2c_Jr,122930
15,George_DeTitta%2c_Jr,121490
16,George_DeTitta%2c_Jr,121206
17,George_DeTitta%2c_Jr,121283
18,George_DeTitta%2c_Jr,120601
