category,measure
All,4844095.0
A_K_Peters%2c_Ltd,1731422
George_DeTitta%2c_Jr,1214069
Groundhog_Day,364498
Facebook,348778
Defne_Joy_Foster,269023
Juventus_F.C,236895
Chinese_New_Year,199299
Hosni_Mubarak,196753
Wiki,144345
Hlavn%C3%AD_strana,139013
