category,group,measure
0,All,1054242
1,All,909060
2,All,980321
3,All,879534
4,All,750943
5,All,765701
6,All,899186
7,All,943558
8,All,945948
9,All,1003458
10,All,935622
11,All,866047
12,All,889466
13,All,1171431
14,All,3530749
15,All,1185223
16,All,1205709
17,All,1177659
18,All,1324232
19,All,1444357
20,All,1560355
21,All,1572587
22,All,1305657
23,All,1234604
24,All,1144005
25,All,970795
26,All,882766
27,All,898429
28,All,901028
29,All,941545
0,Facebook,348778
1,Facebook,202825
2,Facebook,218571
3,Facebook,202978
4,Facebook,180175
5,Facebook,186680
6,Facebook,208609
7,Facebook,207749
8,Facebook,216139
9,Facebook,244660
10,Facebook,220089
11,Facebook,206947
12,Facebook,207814
13,Facebook,216023
14,Facebook,238548
15,Facebook,257156
16,Facebook,289128
17,Facebook,219598
18,Facebook,217737
19,Facebook,264312
20,Facebook,223041
21,Facebook,221988
22,Facebook,231218
23,Facebook,205412
24,Facebook,204345
25,Facebook,151771
26,Facebook,172376
27,Facebook,165568
28,Facebook,171117
29,Facebook,182275
0,Hlavn%C3%AD_strana,139013
1,Hlavn%C3%AD_strana,146678
2,Hlavn%C3%AD_strana,143981
3,Hlavn%C3%AD_strana,132302
4,Hlavn%C3%AD_strana,101915
5,Hlavn%C3%AD_strana,113948
6,Hlavn%C3%AD_strana,147819
7,Hlavn%C3%AD_strana,147625
8,Hlavn%C3%AD_strana,150273
9,Hlavn%C3%AD_strana,157822
10,Hlavn%C3%AD_strana,143663
11,Hlavn%C3%AD_strana,116643
12,Hlavn%C3%AD_strana,118319
13,Hlavn%C3%AD_strana,151676
14,Hlavn%C3%AD_strana,165915
15,Hlavn%C3%AD_strana,166516
16,Hlavn%C3%AD_strana,165216
17,Hlavn%C3%AD_strana,158025
18,Hlavn%C3%AD_strana,125491
19,Hlavn%C3%AD_strana,124354
20,Hlavn%C3%AD_strana,165123
21,Hlavn%C3%AD_strana,169136
22,Hlavn%C3%AD_strana,175829
23,Hlavn%C3%AD_strana,176135
24,Hlavn%C3%AD_strana,177706
25,Hlavn%C3%AD_strana,135104
26,Hlavn%C3%AD_strana,131475
27,Hlavn%C3%AD_strana,165204
28,Hlavn%C3%AD_strana,167785
29,Hlavn%C3%AD_strana,163009
0,Mark_Zuckerberg,73317
1,Mark_Zuckerberg,92929
2,Mark_Zuckerberg,143294
3,Mark_Zuckerberg,143335
4,Mark_Zuckerberg,82892
5,Mark_Zuckerberg,68774
6,Mark_Zuckerberg,96502
7,Mark_Zuckerberg,104782
8,Mark_Zuckerberg,92032
9,Mark_Zuckerberg,136754
10,Mark_Zuckerberg,152107
11,Mark_Zuckerberg,132896
12,Mark_Zuckerberg,109455
13,Mark_Zuckerberg,116529
14,Mark_Zuckerberg,132660
15,Mark_Zuckerberg,178783
16,Mark_Zuckerberg,260723
17,Mark_Zuckerberg,175401
18,Mark_Zuckerberg,153503
19,Mark_Zuckerberg,134717
20,Mark_Zuckerberg,147235
21,Mark_Zuckerberg,158011
22,Mark_Zuckerberg,108931
23,Mark_Zuckerberg,127208
24,Mark_Zuckerberg,128561
25,Mark_Zuckerberg,87369
26,Mark_Zuckerberg,93413
27,Mark_Zuckerberg,77286
28,Mark_Zuckerberg,89753
29,Mark_Zuckerberg,112777
0,Ngai.cc,130887
1,Ngai.cc,134267
2,Ngai.cc,135986
3,Ngai.cc,120469
4,Ngai.cc,112101
5,Ngai.cc,115403
6,Ngai.cc,120746
7,Ngai.cc,119226
8,Ngai.cc,122275
9,Ngai.cc,112336
10,Ngai.cc,96740
11,Ngai.cc,103918
12,Ngai.cc,106136
13,Ngai.cc,100327
14,Ngai.cc,107207
15,Ngai.cc,102274
16,Ngai.cc,97253
17,Ngai.cc,96558
18,Ngai.cc,96230
19,Ngai.cc,100975
20,Ngai.cc,103223
21,Ngai.cc,100690
22,Ngai.cc,98356
23,Ngai.cc,97830
24,Ngai.cc,96762
25,Ngai.cc,97476
26,Ngai.cc,97106
27,Ngai.cc,96532
28,Ngai.cc,97586
29,Ngai.cc,96004
0,Main%20Page,0
1,Main%20Page,0
2,Main%20Page,0
3,Main%20Page,0
4,Main%20Page,0
5,Main%20Page,0
6,Main%20Page,0
7,Main%20Page,0
8,Main%20Page,0
9,Main%20Page,0
10,Main%20Page,0
11,Main%20Page,0
12,Main%20Page,0
13,Main%20Page,0
14,Main%20Page,1413
15,Main%20Page,10263
16,Main%20Page,21483
17,Main%20Page,180230
18,Main%20Page,418826
19,Main%20Page,476055
20,Main%20Page,519849
21,Main%20Page,496263
22,Main%20Page,267499
23,Main%20Page,237174
24,Main%20Page,197636
25,Main%20Page,176642
26,Main%20Page,44483
27,Main%20Page,0
28,Main%20Page,0
29,Main%20Page,0
0,Google,107929
1,Google,101797
2,Google,110718
3,Google,85670
4,Google,84332
5,Google,88992
6,Google,97287
7,Google,102829
8,Google,95853
9,Google,92773
10,Google,83768
11,Google,83413
12,Google,120448
13,Google,109587
14,Google,106142
15,Google,103610
16,Google,99071
17,Google,89036
18,Google,81081
19,Google,103890
20,Google,107763
21,Google,114182
22,Google,112465
