category,group,measure
0,All,139296
1,All,174791
2,All,190564
3,All,222268
4,All,220047
5,All,229609
6,All,270001
7,All,266877
8,All,266708
9,All,273644
10,All,273168
11,All,273939
12,All,272457
13,All,269736
14,All,269738
15,All,287988
16,All,276566
17,All,285612
18,All,283280
19,All,274652
20,All,285396
21,All,288743
22,All,285417
23,All,286085
0,Leeds_United_A.F.C,58688
1,Leeds_United_A.F.C,59847
2,Leeds_United_A.F.C,59636
3,Leeds_United_A.F.C,60006
4,Leeds_United_A.F.C,60592
5,Leeds_United_A.F.C,61147
6,Leeds_United_A.F.C,62145
7,Leeds_United_A.F.C,62087
8,Leeds_United_A.F.C,62079
9,Leeds_United_A.F.C,62009
10,Leeds_United_A.F.C,61510
11,Leeds_United_A.F.C,61758
12,Leeds_United_A.F.C,61751
13,Leeds_United_A.F.C,61276
14,Leeds_United_A.F.C,60631
15,Leeds_United_A.F.C,59101
16,Leeds_United_A.F.C,57239
17,Leeds_United_A.F.C,59028
18,Leeds_United_A.F.C,59254
19,Leeds_United_A.F.C,57531
20,Leeds_United_A.F.C,59817
21,Leeds_United_A.F.C,60941
22,Leeds_United_A.F.C,60759
23,Leeds_United_A.F.C,60801
0,Monsters%2c_Inc,29387
1,Monsters%2c_Inc,59687
2,Monsters%2c_Inc,59672
3,Monsters%2c_Inc,60455
4,Monsters%2c_Inc,60508
5,Monsters%2c_Inc,61447
6,Monsters%2c_Inc,62357
7,Monsters%2c_Inc,62251
8,Monsters%2c_Inc,62172
9,Monsters%2c_Inc,61807
10,Monsters%2c_Inc,61360
11,Monsters%2c_Inc,61790
12,Monsters%2c_Inc,61450
13,Monsters%2c_Inc,61041
14,Monsters%2c_Inc,60370
15,Monsters%2c_Inc,59279
16,Monsters%2c_Inc,57368
17,Monsters%2c_Inc,58995
18,Monsters%2c_Inc,58936
19,Monsters%2c_Inc,57513
20,Monsters%2c_Inc,59802
21,Monsters%2c_Inc,60841
22,Monsters%2c_Inc,60550
23,Monsters%2c_Inc,61134
0,Theodore_Roosevelt%2c_Jr,0
1,Theodore_Roosevelt%2c_Jr,0
2,Theodore_Roosevelt%2c_Jr,26121
3,Theodore_Roosevelt%2c_Jr,60284
4,Theodore_Roosevelt%2c_Jr,60859
5,Theodore_Roosevelt%2c_Jr,61199
6,Theodore_Roosevelt%2c_Jr,62037
7,Theodore_Roosevelt%2c_Jr,62018
8,Theodore_Roosevelt%2c_Jr,62054
9,Theodore_Roosevelt%2c_Jr,61941
10,Theodore_Roosevelt%2c_Jr,61547
11,Theodore_Roosevelt%2c_Jr,61631
12,Theodore_Roosevelt%2c_Jr,61505
13,Theodore_Roosevelt%2c_Jr,60918
14,Theodore_Roosevelt%2c_Jr,60312
15,Theodore_Roosevelt%2c_Jr,58989
16,Theodore_Roosevelt%2c_Jr,57166
17,Theodore_Roosevelt%2c_Jr,59418
18,Theodore_Roosevelt%2c_Jr,58895
19,Theodore_Roosevelt%2c_Jr,57098
20,Theodore_Roosevelt%2c_Jr,59728
21,Theodore_Roosevelt%2c_Jr,60905
22,Theodore_Roosevelt%2c_Jr,60758
23,Theodore_Roosevelt%2c_Jr,60868
0,Frederick_Law_Olmsted%2c_Jr,0
1,Frederick_Law_Olmsted%2c_Jr,0
2,Frederick_Law_Olmsted%2c_Jr,0
3,Frederick_Law_Olmsted%2c_Jr,0
4,Frederick_Law_Olmsted%2c_Jr,0
5,Frederick_Law_Olmsted%2c_Jr,2108
6,Frederick_Law_Olmsted%2c_Jr,62339
7,Frederick_Law_Olmsted%2c_Jr,62178
8,Frederick_Law_Olmsted%2c_Jr,62071
9,Frederick_Law_Olmsted%2c_Jr,61880
10,Frederick_Law_Olmsted%2c_Jr,61450
11,Frederick_Law_Olmsted%2c_Jr,61828
12,Frederick_Law_Olmsted%2c_Jr,61449
13,Frederick_Law_Olmsted%2c_Jr,61411
14,Frederick_Law_Olmsted%2c_Jr,60638
15,Frederick_Law_Olmsted%2c_Jr,59457
16,Frederick_Law_Olmsted%2c_Jr,57593
17,Frederick_Law_Olmsted%2c_Jr,59155
18,Frederick_Law_Olmsted%2c_Jr,59068
19,Frederick_Law_Olmsted%2c_Jr,57144
20,Frederick_Law_Olmsted%2c_Jr,59683
21,Frederick_Law_Olmsted%2c_Jr,60905
22,Frederick_Law_Olmsted%2c_Jr,60642
23,Frederick_Law_Olmsted%2c_Jr,61078
0,Valentine%27s_Day,49291
1,Valentine%27s_Day,42711
2,Valentine%27s_Day,39044
3,Valentine%27s_Day,36393
4,Valentine%27s_Day,32793
5,Valentine%27s_Day,26839
6,Valentine%27s_Day,9489
7,Valentine%27s_Day,7099
8,Valentine%27s_Day,5320
9,Valentine%27s_Day,4561
10,Valentine%27s_Day,4252
11,Valentine%27s_Day,4301
12,Valentine%27s_Day,4402
13,Valentine%27s_Day,4874
14,Valentine%27s_Day,5510
15,Valentine%27s_Day,5998
16,Valentine%27s_Day,5929
17,Valentine%27s_Day,6229
18,Valentine%27s_Day,5830
19,Valentine%27s_Day,5316
20,Valentine%27s_Day,5017
21,Valentine%27s_Day,4322
22,Valentine%27s_Day,4123
23,Valentine%27s_Day,3627
0,Manchester_United_F.C,0
1,Manchester_United_F.C,0
2,Manchester_United_F.C,0
3,Manchester_United_F.C,0
4,Manchester_United_F.C,0
5,Manchester_United_F.C,0
6,Manchester_United_F.C,0
7,Manchester_United_F.C,0
8,Manchester_United_F.C,0
9,Manchester_United_F.C,0
10,Manchester_United_F.C,0
11,Manchester_United_F.C,0
12,Manchester_United_F.C,0
13,Manchester_United_F.C,0
14,Manchester_United_F.C,7218
15,Manchester_United_F.C,29761
16,Manchester_United_F.C,28677
17,Manchester_United_F.C,29488
18,Manchester_United_F.C,29436
19,Manchester_United_F.C,28593
20,Manchester_United_F.C,29850
21,Manchester_United_F.C,30374
22,Manchester_United_F.C,30276
23,Manchester_United_F.C,30457
0,Ernest_Shackleton,0
1,Ernest_Shackleton,10890
2,Ernest_Shackleton,4491
3,Ernest_Shackleton,2366
4,Ernest_Shackleton,1537
5,Ernest_Shackleton,1308
6,Ernest_Shackleton,1498
7,Ernest_Shackleton,2896
8,Ernest_Shackleton,7025
9,Ernest_Shackleton,14325
10,Ernest_Shackleton,19583
11,Ernest_Shackleton,19682
12,Ernest_Shackleton,18452
13,Ernest_Shackleton,16133
14,Ernest_Shackleton,14284
15,Ernest_Shackleton,14571
16,Ernest_Shackleton,11583
17,Ernest_Shackleton,12215
18,Ernest_Shackleton,10661
19,Ernest_Shackleton,10240
20,Ernest_Shackleton,10285
21,Ernest_Shackleton,9548
22,Ernest_Shackleton,7431
23,Ernest_Shackleton,7199
0,Facebook,237
1,Facebook,217
2,Facebook,208
3,Facebook,1246
4,Facebook,1725
5,Facebook,1260
6,Facebook,1170
7,Facebook,1109
8,Facebook,1262
9,Facebook,3638
10,Facebook,274
11,Facebook,276
12,Facebook,306
13,Facebook,276
14,Facebook,320
15,Facebook,394
16,Facebook,298
17,Facebook,263
18,Facebook,331
19,Facebook,325
20,Facebook,300
21,Facebook,244
22,Facebook,229
23,Facebook,263
0,Dwayne_Johnson,1125
1,Dwayne_Johnson,1097
2,Dwayne_Johnson,1087
3,Dwayne_Johnson,1291
4,Dwayne_Johnson,1750
5,Dwayne_Johnson,1772
6,Dwayne_Johnson,1329
7,Dwayne_Johnson,480
8,Dwayne_Johnson,208
9,Dwayne_Johnson,205
10,Dwayne_Johnson,276
11,Dwayne_Johnson,335
12,Dwayne_Johnson,454
13,Dwayne_Johnson,484
14,Dwayne_Johnson,219
15,Dwayne_Johnson,214
16,Dwayne_Johnson,434
17,Dwayne_Johnson,564
18,Dwayne_Johnson,666
19,Dwayne_Johnson,620
20,Dwayne_Johnson,628
21,Dwayne_Johnson,404
22,Dwayne_Johnson,308
23,Dwayne_Johnson,372
0,Esperanza_Spalding,568
1,Esperanza_Spalding,342
2,Esperanza_Spalding,305
3,Esperanza_Spalding,227
4,Esperanza_Spalding,283
5,Esperanza_Spalding,12529
6,Esperanza_Spalding,7637
7,Esperanza_Spalding,6759
8,Esperanza_Spalding,4517
9,Esperanza_Spalding,3278
10,Esperanza_Spalding,2916
11,Esperanza_Spalding,2338
12,Esperanza_Spalding,2688
13,Esperanza_Spalding,3323
14,Esperanza_Spalding,236
15,Esperanza_Spalding,224
16,Esperanza_Spalding,279
17,Esperanza_Spalding,257
18,Esperanza_Spalding,203
19,Esperanza_Spalding,272
20,Esperanza_Spalding,286
21,Esperanza_Spalding,259
22,Esperanza_Spalding,341
23,Esperanza_Spalding,286
