category,group,measure
0,All,1229210
1,All,2528897
2,All,1275688
3,All,935942
4,All,932154
5,All,923101
6,All,1096209
7,All,4256463
8,All,1057325
9,All,900697
10,All,793518
11,All,799786
12,All,878950
13,All,960594
14,All,821456
15,All,910712
16,All,808402
17,All,700359
18,All,687328
19,All,800958
20,All,833995
21,All,833981
22,All,922998
23,All,874353
24,All,796766
25,All,814939
26,All,1082309
27,All,3413100
28,All,1075334
29,All,1127957
0,Facebook,227511
1,Facebook,259752
2,Facebook,296995
3,Facebook,255033
4,Facebook,224060
5,Facebook,208962
6,Facebook,220525
7,Facebook,241468
8,Facebook,254412
9,Facebook,262965
10,Facebook,220943
11,Facebook,238767
12,Facebook,283965
13,Facebook,348778
14,Facebook,202825
15,Facebook,218571
16,Facebook,202978
17,Facebook,180175
18,Facebook,186680
19,Facebook,208609
20,Facebook,207749
21,Facebook,216139
22,Facebook,244660
23,Facebook,220089
24,Facebook,206947
25,Facebook,207814
26,Facebook,216023
27,Facebook,238548
28,Facebook,257156
29,Facebook,289128
0,Hlavn%C3%AD_strana,144147
1,Hlavn%C3%AD_strana,141998
2,Hlavn%C3%AD_strana,134379
3,Hlavn%C3%AD_strana,102006
4,Hlavn%C3%AD_strana,109949
5,Hlavn%C3%AD_strana,133416
6,Hlavn%C3%AD_strana,136211
7,Hlavn%C3%AD_strana,146289
8,Hlavn%C3%AD_strana,143104
9,Hlavn%C3%AD_strana,125036
10,Hlavn%C3%AD_strana,96732
11,Hlavn%C3%AD_strana,94992
12,Hlavn%C3%AD_strana,118863
13,Hlavn%C3%AD_strana,139013
14,Hlavn%C3%AD_strana,146678
15,Hlavn%C3%AD_strana,143981
16,Hlavn%C3%AD_strana,132302
17,Hlavn%C3%AD_strana,101915
18,Hlavn%C3%AD_strana,113948
19,Hlavn%C3%AD_strana,147819
20,Hlavn%C3%AD_strana,147625
21,Hlavn%C3%AD_strana,150273
22,Hlavn%C3%AD_strana,157822
23,Hlavn%C3%AD_strana,143663
24,Hlavn%C3%AD_strana,116643
25,Hlavn%C3%AD_strana,118319
26,Hlavn%C3%AD_strana,151676
27,Hlavn%C3%AD_strana,165915
28,Hlavn%C3%AD_strana,166516
29,Hlavn%C3%AD_strana,165216
0,Valentine%27s_Day,323270
1,Valentine%27s_Day,1491753
2,Valentine%27s_Day,330462
3,Valentine%27s_Day,147498
4,Valentine%27s_Day,151847
5,Valentine%27s_Day,127688
6,Valentine%27s_Day,111088
7,Valentine%27s_Day,100484
8,Valentine%27s_Day,81724
9,Valentine%27s_Day,51699
10,Valentine%27s_Day,43396
11,Valentine%27s_Day,52300
12,Valentine%27s_Day,53622
13,Valentine%27s_Day,50257
14,Valentine%27s_Day,50292
15,Valentine%27s_Day,44863
16,Valentine%27s_Day,27266
17,Valentine%27s_Day,21505
18,Valentine%27s_Day,24850
19,Valentine%27s_Day,28974
20,Valentine%27s_Day,34865
21,Valentine%27s_Day,36081
22,Valentine%27s_Day,43158
23,Valentine%27s_Day,28783
24,Valentine%27s_Day,23027
25,Valentine%27s_Day,28382
26,Valentine%27s_Day,30251
27,Valentine%27s_Day,30882
28,Valentine%27s_Day,30597
29,Valentine%27s_Day,27052
0,Jules_Verne,0
1,Jules_Verne,209
2,Jules_Verne,820
3,Jules_Verne,430
4,Jules_Verne,7925
5,Jules_Verne,9806
6,Jules_Verne,162900
7,Jules_Verne,3268017
8,Jules_Verne,119219
9,Jules_Verne,0
10,Jules_Verne,0
11,Jules_Verne,0
12,Jules_Verne,0
13,Jules_Verne,0
14,Jules_Verne,0
15,Jules_Verne,0
16,Jules_Verne,0
17,Jules_Verne,0
18,Jules_Verne,0
19,Jules_Verne,0
20,Jules_Verne,286
21,Jules_Verne,7473
22,Jules_Verne,0
23,Jules_Verne,0
24,Jules_Verne,0
25,Jules_Verne,0
26,Jules_Verne,0
27,Jules_Verne,0
28,Jules_Verne,0
29,Jules_Verne,0
0,Mark_Zuckerberg,76270
1,Mark_Zuckerberg,97149
2,Mark_Zuckerberg,121595
3,Mark_Zuckerberg,81768
4,Mark_Zuckerberg,63200
5,Mark_Zuckerberg,67581
6,Mark_Zuckerberg,79451
7,Mark_Zuckerberg,85261
8,Mark_Zuckerberg,82523
9,Mark_Zuckerberg,136255
10,Mark_Zuckerberg,102338
11,Mark_Zuckerberg,72639
12,Mark_Zuckerberg,80530
13,Mark_Zuckerberg,73317
14,Mark_Zuckerberg,92929
15,Mark_Zuckerberg,143294
16,Mark_Zuckerberg,143335
17,Mark_Zuckerberg,82892
18,Mark_Zuckerberg,68774
19,Mark_Zuckerberg,96502
20,Mark_Zuckerberg,104782
21,Mark_Zuckerberg,92032
22,Mark_Zuckerberg,136754
23,Mark_Zuckerberg,152107
24,Mark_Zuckerberg,132896
25,Mark_Zuckerberg,109455
26,Mark_Zuckerberg,116529
27,Mark_Zuckerberg,132660
28,Mark_Zuckerberg,178783
29,Mark_Zuckerberg,260723
0,Google,133159
1,Google,133407
2,Google,94137
3,Google,89061
4,Google,113786
5,Google,119975
6,Google,126592
7,Google,145936
8,Google,119604
9,Google,97143
10,Google,94439
11,Google,107161
12,Google,112088
13,Google,107929
14,Google,101797
15,Google,110718
16,Google,85670
17,Google,84332
18,Google,88992
19,Google,97287
20,Google,102829
21,Google,95853
22,Google,92773
23,Google,83768
24,Google,83413
25,Google,120448
26,Google,109587
