category,measure
All,6698268.0
Leeds_United_A.F.C,1449633
Monsters%2c_Inc,1420172
Theodore_Roosevelt%2c_Jr,1296251
Frederick_Law_Olmsted%2c_Jr,1092077
Valentine%27s_Day,323270
Manchester_United_F.C,274130
Ernest_Shackleton,228203
Facebook,227511
Dwayne_Johnson,199334
Esperanza_Spalding,187687
