category,measure
All,36001064.0
Facebook,7267825
Hlavn%C3%AD_strana,4194471
Valentine%27s_Day,3648847
Jules_Verne,3577085
Mark_Zuckerberg,3439725
Google,3249743
Justin_Bieber,2827226
Paul_C%C3%A9zanne,2782155
Accueil,2516139
Ana_Sayfa,2497848
