category,group,measure
16,2c_DC,26793
17,2c_DC,26849
18,2c_DC,26868
19,2c_DC,5145
20,2c_DC,0
21,2c_DC,0
22,2c_DC,0
23,2c_DC,0
0,William_Halsey2c_Jr,0
1,William_Halsey2c_Jr,0
2,William_Halsey2c_Jr,3756
3,William_Halsey2c_Jr,30016
4,William_Halsey2c_Jr,30585
5,William_Halsey2c_Jr,30652
6,William_Halsey2c_Jr,30660
7,William_Halsey2c_Jr,30962
8,William_Halsey2c_Jr,28913
9,William_Halsey2c_Jr,28867
10,William_Halsey2c_Jr,29172
11,William_Halsey2c_Jr,29565
12,William_Halsey2c_Jr,29447
13,William_Halsey2c_Jr,28767
14,William_Halsey2c_Jr,27431
15,William_Halsey2c_Jr,26836
16,William_Halsey2c_Jr,26511
17,William_Halsey2c_Jr,27042
18,William_Halsey2c_Jr,26944
19,William_Halsey2c_Jr,5200
20,William_Halsey2c_Jr,0
21,William_Halsey2c_Jr,0
22,William_Halsey2c_Jr,0
23,William_Halsey2c_Jr,0
0,SpecialAutoLogin,1585
1,SpecialAutoLogin,1353
2,SpecialAutoLogin,1250
3,SpecialAutoLogin,1244
4,SpecialAutoLogin,1155
5,SpecialAutoLogin,1176
6,SpecialAutoLogin,1284
7,SpecialAutoLogin,1418
8,SpecialAutoLogin,1752
9,SpecialAutoLogin,1950
10,SpecialAutoLogin,2027
11,SpecialAutoLogin,2085
12,SpecialAutoLogin,2018
13,SpecialAutoLogin,2208
14,SpecialAutoLogin,2370
15,SpecialAutoLogin,2568
16,SpecialAutoLogin,2639
17,SpecialAutoLogin,2560
18,SpecialAutoLogin,2654
19,SpecialAutoLogin,2519
20,SpecialAutoLogin,2468
21,SpecialAutoLogin,2165
22,SpecialAutoLogin,2103
23,SpecialAutoLogin,1994
