category,measure
All,8168863.0
Facebook,1169638
Hlavn%C3%AD_strana,1050110
AV%E5%A5%B3%E5%84%AA%E4%B8%80%E8%A6%A7,823143
William_Shakespeare,820488
Pete_Postlethwaite,770425
New_Year%27s_Day,739708
List_of_common_misconceptions,738443
Ana_Sayfa,736684
Mark_Zuckerberg,662011
Ngai.cc,658213
