category,group,measure
0,All,858287
1,All,1054242
2,All,909060
3,All,980321
4,All,879534
5,All,750943
6,All,765701
7,All,899186
8,All,943558
9,All,945948
10,All,1003458
11,All,935622
12,All,866047
13,All,889466
14,All,1171431
15,All,3530749
16,All,1185223
17,All,1205709
18,All,1177659
19,All,1324232
20,All,1444357
21,All,1560355
22,All,1572587
23,All,1305657
24,All,1234604
25,All,1144005
26,All,970795
27,All,882766
28,All,898429
29,All,901028
0,Facebook,283965
1,Facebook,348778
2,Facebook,202825
3,Facebook,218571
4,Facebook,202978
5,Facebook,180175
6,Facebook,186680
7,Facebook,208609
8,Facebook,207749
9,Facebook,216139
10,Facebook,244660
11,Facebook,220089
12,Facebook,206947
13,Facebook,207814
14,Facebook,216023
15,Facebook,238548
16,Facebook,257156
17,Facebook,289128
18,Facebook,219598
19,Facebook,217737
20,Facebook,264312
21,Facebook,223041
22,Facebook,221988
23,Facebook,231218
24,Facebook,205412
25,Facebook,204345
26,Facebook,151771
27,Facebook,172376
28,Facebook,165568
29,Facebook,171117
0,Hlavn%C3%AD_strana,118863
1,Hlavn%C3%AD_strana,139013
2,Hlavn%C3%AD_strana,146678
3,Hlavn%C3%AD_strana,143981
4,Hlavn%C3%AD_strana,132302
5,Hlavn%C3%AD_strana,101915
6,Hlavn%C3%AD_strana,113948
7,Hlavn%C3%AD_strana,147819
8,Hlavn%C3%AD_strana,147625
9,Hlavn%C3%AD_strana,150273
10,Hlavn%C3%AD_strana,157822
11,Hlavn%C3%AD_strana,143663
12,Hlavn%C3%AD_strana,116643
13,Hlavn%C3%AD_strana,118319
14,Hlavn%C3%AD_strana,151676
15,Hlavn%C3%AD_strana,165915
16,Hlavn%C3%AD_strana,166516
17,Hlavn%C3%AD_strana,165216
18,Hlavn%C3%AD_strana,158025
19,Hlavn%C3%AD_strana,125491
20,Hlavn%C3%AD_strana,124354
21,Hlavn%C3%AD_strana,165123
22,Hlavn%C3%AD_strana,169136
23,Hlavn%C3%AD_strana,175829
24,Hlavn%C3%AD_strana,176135
25,Hlavn%C3%AD_strana,177706
26,Hlavn%C3%AD_strana,135104
27,Hlavn%C3%AD_strana,131475
28,Hlavn%C3%AD_strana,165204
29,Hlavn%C3%AD_strana,167785
0,Mark_Zuckerberg,80530
1,Mark_Zuckerberg,73317
2,Mark_Zuckerberg,92929
3,Mark_Zuckerberg,143294
4,Mark_Zuckerberg,143335
5,Mark_Zuckerberg,82892
6,Mark_Zuckerberg,68774
7,Mark_Zuckerberg,96502
8,Mark_Zuckerberg,104782
9,Mark_Zuckerberg,92032
10,Mark_Zuckerberg,136754
11,Mark_Zuckerberg,152107
12,Mark_Zuckerberg,132896
13,Mark_Zuckerberg,109455
14,Mark_Zuckerberg,116529
15,Mark_Zuckerberg,132660
16,Mark_Zuckerberg,178783
17,Mark_Zuckerberg,260723
18,Mark_Zuckerberg,175401
19,Mark_Zuckerberg,153503
20,Mark_Zuckerberg,134717
21,Mark_Zuckerberg,147235
22,Mark_Zuckerberg,158011
23,Mark_Zuckerberg,108931
24,Mark_Zuckerberg,127208
25,Mark_Zuckerberg,128561
26,Mark_Zuckerberg,87369
27,Mark_Zuckerberg,93413
28,Mark_Zuckerberg,77286
29,Mark_Zuckerberg,89753
0,Ngai.cc,27386
1,Ngai.cc,130887
2,Ngai.cc,134267
3,Ngai.cc,135986
4,Ngai.cc,120469
5,Ngai.cc,112101
6,Ngai.cc,115403
7,Ngai.cc,120746
8,Ngai.cc,119226
9,Ngai.cc,122275
10,Ngai.cc,112336
11,Ngai.cc,96740
12,Ngai.cc,103918
13,Ngai.cc,106136
14,Ngai.cc,100327
15,Ngai.cc,107207
16,Ngai.cc,102274
17,Ngai.cc,97253
18,Ngai.cc,96558
19,Ngai.cc,96230
20,Ngai.cc,100975
21,Ngai.cc,103223
22,Ngai.cc,100690
23,Ngai.cc,98356
24,Ngai.cc,97830
25,Ngai.cc,96762
26,Ngai.cc,97476
27,Ngai.cc,97106
28,Ngai.cc,96532
29,Ngai.cc,97586
0,Main%20Page,0
1,Main%20Page,0
2,Main%20Page,0
3,Main%20Page,0
4,Main%20Page,0
5,Main%20Page,0
6,Main%20Page,0
7,Main%20Page,0
8,Main%20Page,0
9,Main%20Page,0
10,Main%20Page,0
11,Main%20Page,0
12,Main%20Page,0
13,Main%20Page,0
14,Main%20Page,0
15,Main%20Page,1413
16,Main%20Page,10263
17,Main%20Page,21483
18,Main%20Page,180230
19,Main%20Page,418826
20,Main%20Page,476055
21,Main%20Page,519849
22,Main%20Page,496263
23,Main%20Page,267499
24,Main%20Page,237174
25,Main%20Page,197636
26,Main%20Page,176642
27,Main%20Page,44483
28,Main%20Page,0
29,Main%20Page,0
0,Google,112088
1,Google,107929
2,Google,101797
3,Google,110718
4,Google,85670
5,Google,84332
6,Google,88992
7,Google,97287
8,Google,102829
9,Google,95853
10,Google,92773
11,Google,83768
12,Google,83413
13,Google,120448
14,Google,109587
15,Google,106142
16,Google,103610
17,Google,99071
18,Google,89036
19,Google,81081
20,Google,103890
21,Google,107763
22,Google,114182
23,Google,112465
24,Google,113439
25,Google,73959
26,Google,75462
27,Google,88654
28,Google,96370
29,Google,71860
0,Paul_C%C3%A9zanne,0
1,Paul_C%C3%A9zanne,0
2,Paul_C%C3%A9zanne,0
3,Paul_C%C3%A9zanne,214
4,Paul_C%C3%A9zanne,0
5,Paul_C%C3%A9zanne,0
6,Paul_C%C3%A9zanne,0
7,Paul_C%C3%A9zanne,0
8,Paul_C%C3%A9zanne,891
9,Paul_C%C3%A9zanne,2204
10,Paul_C%C3%A9zanne,2606
11,Paul_C%C3%A9zanne,2026
12,Paul_C%C3%A9zanne,413
13,Paul_C%C3%A9zanne,4059
14,Paul_C%C3%A9zanne,210345
15,Paul_C%C3%A9zanne,2482968
16,Paul_C%C3%A9zanne,74779
17,Paul_C%C3%A9zanne,223
18,Paul_C%C3%A9zanne,0
19,Paul_C%C3%A9zanne,0
20,Paul_C%C3%A9zanne,0
21,Paul_C%C3%A9zanne,259
22,Paul_C%C3%A9zanne,0
23,Paul_C%C3%A9zanne,0
24,Paul_C%C3%A9zanne,415
25,Paul_C%C3%A9zanne,0
26,Paul_C%C3%A9zanne,0
27,Paul_C%C3%A9zanne,0
28,Paul_C%C3%A9zanne,0
29,Paul_C%C3%A9zanne,0
0,Ana_Sayfa,78514
1,Ana_Sayfa,87526
2,Ana_Sayfa,71479
3,Ana_Sayfa,78473
4,Ana_Sayfa,62962
5,Ana_Sayfa,61779
6,Ana_Sayfa,63834
7,Ana_Sayfa,74215
8,Ana_Sayfa,81264
9,Ana_Sayfa,80421
10,Ana_Sayfa,85664
11,Ana_Sayfa,81412
12,Ana_Sayfa,76627
13,Ana_Sayfa,77254
14,Ana_Sayfa,98952
15,Ana_Sayfa,101972
16,Ana_Sayfa,102526
17,Ana_Sayfa,98536
18,Ana_Sayfa,102769
19,Ana_Sayfa,84166
20,Ana_Sayfa,83591
21,Ana_Sayfa,108977
22,Ana_Sayfa,103451
23,Ana_Sayfa,103612
24,Ana_Sayfa,104149
25,Ana_Sayfa,105546
26,Ana_Sayfa,93517
27,Ana_Sayfa,86320
28,Ana_Sayfa,115761
29,Ana_Sayfa,112956
0,How_I_Met_Your_Mother,76829
1,How_I_Met_Your_Mother,84995
2,How_I_Met_Your_Mother,75402
3,How_I_Met_Your_Mother,62250
4,How_I_Met_Your_Mother,52493
5,How_I_Met_Your_Mother,52459
6,How_I_Met_Your_Mother,51999
7,How_I_Met_Your_Mother,70606
8,How_I_Met_Your_Mother,91565
9,How_I_Met_Your_Mother,98695
10,How_I_Met_Your_Mother,82382
11,How_I_Met_Your_Mother,76287
12,How_I_Met_Your_Mother,70875
13,How_I_Met_Your_Mother,66889
14,How_I_Met_Your_Mother,87347
15,How_I_Met_Your_Mother,111335
16,How_I_Met_Your_Mother,105171
17,How_I_Met_Your_Mother,81671
18,How_I_Met_Your_Mother,78873
19,How_I_Met_Your_Mother,79039
20,How_I_Met_Your_Mother,77020
21,How_I_Met_Your_Mother,101820
22,How_I_Met_Your_Mother,124843
23,How_I_Met_Your_Mother,124546
24,How_I_Met_Your_Mother,87831
25,How_I_Met_Your_Mother,80944
26,How_I_Met_Your_Mother,82637
27,How_I_Met_Your_Mother,86150
28,How_I_Met_Your_Mother,93973
29,How_I_Met_Your_Mother,103649
0,Accueil,80112
1,Accueil,81797
2,Accueil,83683
3,Accueil,86834
4,Accueil,79325
5,Accueil,75290
6,Accueil,76071
7,Accueil,83402
8,Accueil,87627
9,Accueil,88056
10,Accueil,88461
11,Accueil,79530
12,Accueil,74315
13,Accueil,79092
14,Accueil,80645
15,Accueil,82589
16,Accueil,84145
17,Accueil,92405
18,Accueil,77169
19,Accueil,68159
20,Accueil,79443
21,Accueil,83065
22,Accueil,84023
23,Accueil,83201
24,Accueil,85011
25,Accueil,78546
26,Accueil,70817
27,Accueil,82789
28,Accueil,87735
29,Accueil,86322
