category,measure
All,4557404.0
A_K_Peters%2c_Ltd,1819357
Washington%2c_D.C,731590
Needing_You,478682
Warner_Bros,402065
Chinese_New_Year,314056
Facebook,283965
Wiki,144964
Cottingley_Fairies,134679
Hosni_Mubarak,129183
Hlavn%C3%AD_strana,118863
