category,measure
All,35132504.0
Facebook,6767592
Hlavn%C3%AD_strana,4562563
Mark_Zuckerberg,3792459
Ngai.cc,3240265
Main%20Page,3047816
Google,2983531
Paul_C%C3%A9zanne,2781402
Ana_Sayfa,2779578
How_I_Met_Your_Mother,2643097
Accueil,2534201
