category,group,measure
0,All,13443
1,All,19953
2,All,19589
3,All,19100
4,All,18688
5,All,17129
6,All,17376
7,All,37463
8,All,50539
9,All,59197
10,All,85773
11,All,152867
12,All,237801
13,All,255248
14,All,333121
15,All,331773
16,All,332234
17,All,329474
18,All,330012
19,All,263215
20,All,255463
21,All,277345
22,All,269328
23,All,303275
0,A_K_Peters%2c_Ltd,0
1,A_K_Peters%2c_Ltd,0
2,A_K_Peters%2c_Ltd,0
3,A_K_Peters%2c_Ltd,0
4,A_K_Peters%2c_Ltd,0
5,A_K_Peters%2c_Ltd,0
6,A_K_Peters%2c_Ltd,0
7,A_K_Peters%2c_Ltd,0
8,A_K_Peters%2c_Ltd,0
9,A_K_Peters%2c_Ltd,0
10,A_K_Peters%2c_Ltd,0
11,A_K_Peters%2c_Ltd,4102
12,A_K_Peters%2c_Ltd,90253
13,A_K_Peters%2c_Ltd,104423
14,A_K_Peters%2c_Ltd,180838
15,A_K_Peters%2c_Ltd,178231
16,A_K_Peters%2c_Ltd,177827
17,A_K_Peters%2c_Ltd,174413
18,A_K_Peters%2c_Ltd,175639
19,A_K_Peters%2c_Ltd,137168
20,A_K_Peters%2c_Ltd,133059
21,A_K_Peters%2c_Ltd,148739
22,A_K_Peters%2c_Ltd,145968
23,A_K_Peters%2c_Ltd,168697
0,Washington%2c_D.C,0
1,Washington%2c_D.C,0
2,Washington%2c_D.C,0
3,Washington%2c_D.C,0
4,Washington%2c_D.C,0
5,Washington%2c_D.C,0
6,Washington%2c_D.C,0
7,Washington%2c_D.C,0
8,Washington%2c_D.C,0
9,Washington%2c_D.C,0
10,Washington%2c_D.C,1133
11,Washington%2c_D.C,63481
12,Washington%2c_D.C,62896
13,Washington%2c_D.C,62955
14,Washington%2c_D.C,60654
15,Washington%2c_D.C,59496
16,Washington%2c_D.C,59351
17,Washington%2c_D.C,58130
18,Washington%2c_D.C,58550
19,Washington%2c_D.C,45506
20,Washington%2c_D.C,45139
21,Washington%2c_D.C,49400
22,Washington%2c_D.C,48754
23,Washington%2c_D.C,56145
0,Needing_You,0
1,Needing_You,0
2,Needing_You,0
3,Needing_You,0
4,Needing_You,0
5,Needing_You,0
6,Needing_You,0
7,Needing_You,18020
8,Needing_You,32256
9,Needing_You,32067
10,Needing_You,31452
11,Needing_You,31626
12,Needing_You,31555
13,Needing_You,31390
14,Needing_You,30428
15,Needing_You,29837
16,Needing_You,29644
17,Needing_You,29277
18,Needing_You,29138
19,Needing_You,22903
20,Needing_You,22056
21,Needing_You,24786
22,Needing_You,24070
23,Needing_You,28177
0,Warner_Bros,0
1,Warner_Bros,0
2,Warner_Bros,0
3,Warner_Bros,0
4,Warner_Bros,0
5,Warner_Bros,0
6,Warner_Bros,0
7,Warner_Bros,0
8,Warner_Bros,0
9,Warner_Bros,5642
10,Warner_Bros,31415
11,Warner_Bros,31658
12,Warner_Bros,31410
13,Warner_Bros,31618
14,Warner_Bros,30154
15,Warner_Bros,29856
16,Warner_Bros,29738
17,Warner_Bros,29272
18,Warner_Bros,29501
19,Warner_Bros,22749
20,Warner_Bros,22182
21,Warner_Bros,24573
22,Warner_Bros,24188
23,Warner_Bros,28109
0,Chinese_New_Year,10754
1,Chinese_New_Year,11275
2,Chinese_New_Year,10978
3,Chinese_New_Year,11224
4,Chinese_New_Year,11043
5,Chinese_New_Year,10311
6,Chinese_New_Year,10437
7,Chinese_New_Year,8626
8,Chinese_New_Year,8276
9,Chinese_New_Year,10047
10,Chinese_New_Year,9338
11,Chinese_New_Year,9138
12,Chinese_New_Year,8749
13,Chinese_New_Year,10560
14,Chinese_New_Year,14730
15,Chinese_New_Year,19100
16,Chinese_New_Year,20307
17,Chinese_New_Year,22261
18,Chinese_New_Year,21092
19,Chinese_New_Year,18901
20,Chinese_New_Year,16471
21,Chinese_New_Year,14983
22,Chinese_New_Year,13443
23,Chinese_New_Year,12012
0,Facebook,236
1,Facebook,208
2,Facebook,907
3,Facebook,886
4,Facebook,1425
5,Facebook,1147
6,Facebook,940
7,Facebook,873
8,Facebook,229
9,Facebook,317
10,Facebook,403
11,Facebook,429
12,Facebook,440
13,Facebook,418
14,Facebook,446
15,Facebook,441
16,Facebook,384
17,Facebook,438
18,Facebook,459
19,Facebook,402
20,Facebook,421
21,Facebook,332
22,Facebook,347
23,Facebook,216
0,Wiki,268
1,Wiki,326
2,Wiki,238
3,Wiki,241
4,Wiki,360
5,Wiki,247
6,Wiki,272
7,Wiki,236
8,Wiki,279
9,Wiki,282
10,Wiki,222
11,Wiki,224
12,Wiki,231
13,Wiki,246
14,Wiki,210
15,Wiki,252
16,Wiki,233
17,Wiki,220
18,Wiki,261
19,Wiki,309
20,Wiki,271
21,Wiki,289
22,Wiki,272
23,Wiki,201
0,Cottingley_Fairies,0
1,Cottingley_Fairies,6695
2,Cottingley_Fairies,6503
3,Cottingley_Fairies,5765
4,Cottingley_Fairies,5096
5,Cottingley_Fairies,4528
6,Cottingley_Fairies,4005
7,Cottingley_Fairies,3370
8,Cottingley_Fairies,3471
9,Cottingley_Fairies,4289
10,Cottingley_Fairies,4076
11,Cottingley_Fairies,4233
12,Cottingley_Fairies,4471
13,Cottingley_Fairies,5863
14,Cottingley_Fairies,7224
15,Cottingley_Fairies,7326
16,Cottingley_Fairies,7623
17,Cottingley_Fairies,7830
18,Cottingley_Fairies,8214
19,Cottingley_Fairies,7643
20,Cottingley_Fairies,7237
21,Cottingley_Fairies,6946
22,Cottingley_Fairies,6661
23,Cottingley_Fairies,5610
0,Hosni_Mubarak,634
1,Hosni_Mubarak,660
2,Hosni_Mubarak,463
3,Hosni_Mubarak,542
4,Hosni_Mubarak,451
5,Hosni_Mubarak,438
6,Hosni_Mubarak,210
7,Hosni_Mubarak,3670
8,Hosni_Mubarak,202
9,Hosni_Mubarak,209
10,Hosni_Mubarak,256
11,Hosni_Mubarak,239
12,Hosni_Mubarak,252
13,Hosni_Mubarak,218
14,Hosni_Mubarak,281
15,Hosni_Mubarak,244
16,Hosni_Mubarak,260
17,Hosni_Mubarak,263
18,Hosni_Mubarak,229
19,Hosni_Mubarak,445
20,Hosni_Mubarak,238
21,Hosni_Mubarak,204
22,Hosni_Mubarak,337
23,Hosni_Mubarak,235
0,Hlavn%C3%AD_strana,1551
1,Hlavn%C3%AD_strana,789
2,Hlavn%C3%AD_strana,500
3,Hlavn%C3%AD_strana,442
4,Hlavn%C3%AD_strana,313
5,Hlavn%C3%AD_strana,458
6,Hlavn%C3%AD_strana,1512
7,Hlavn%C3%AD_strana,2668
8,Hlavn%C3%AD_strana,5826
9,Hlavn%C3%AD_strana,6344
10,Hlavn%C3%AD_strana,7478
11,Hlavn%C3%AD_strana,7737
12,Hlavn%C3%AD_strana,7544
13,Hlavn%C3%AD_strana,7557
14,Hlavn%C3%AD_strana,8156
15,Hlavn%C3%AD_strana,6990
16,Hlavn%C3%AD_strana,6867
17,Hlavn%C3%AD_strana,7370
18,Hlavn%C3%AD_strana,6929
19,Hlavn%C3%AD_strana,7189
20,Hlavn%C3%AD_strana,8389
21,Hlavn%C3%AD_strana,7093
22,Hlavn%C3%AD_strana,5288
23,Hlavn%C3%AD_strana,3873
