category,group,measure
0,All,2528897
1,All,1275688
2,All,935942
3,All,932154
4,All,923101
5,All,1096209
6,All,4256463
7,All,1057325
8,All,900697
9,All,793518
10,All,799786
11,All,878950
12,All,960594
13,All,821456
14,All,910712
15,All,808402
16,All,700359
17,All,687328
18,All,800958
19,All,833995
20,All,833981
21,All,922998
22,All,874353
23,All,796766
24,All,814939
25,All,1082309
26,All,3413100
27,All,1075334
28,All,1127957
29,All,927583
0,Facebook,259752
1,Facebook,296995
2,Facebook,255033
3,Facebook,224060
4,Facebook,208962
5,Facebook,220525
6,Facebook,241468
7,Facebook,254412
8,Facebook,262965
9,Facebook,220943
10,Facebook,238767
11,Facebook,283965
12,Facebook,348778
13,Facebook,202825
14,Facebook,218571
15,Facebook,202978
16,Facebook,180175
17,Facebook,186680
18,Facebook,208609
19,Facebook,207749
20,Facebook,216139
21,Facebook,244660
22,Facebook,220089
23,Facebook,206947
24,Facebook,207814
25,Facebook,216023
26,Facebook,238548
27,Facebook,257156
28,Facebook,289128
29,Facebook,219598
0,Hlavn%C3%AD_strana,141998
1,Hlavn%C3%AD_strana,134379
2,Hlavn%C3%AD_strana,102006
3,Hlavn%C3%AD_strana,109949
4,Hlavn%C3%AD_strana,133416
5,Hlavn%C3%AD_strana,136211
6,Hlavn%C3%AD_strana,146289
7,Hlavn%C3%AD_strana,143104
8,Hlavn%C3%AD_strana,125036
9,Hlavn%C3%AD_strana,96732
10,Hlavn%C3%AD_strana,94992
11,Hlavn%C3%AD_strana,118863
12,Hlavn%C3%AD_strana,139013
13,Hlavn%C3%AD_strana,146678
14,Hlavn%C3%AD_strana,143981
15,Hlavn%C3%AD_strana,132302
16,Hlavn%C3%AD_strana,101915
17,Hlavn%C3%AD_strana,113948
18,Hlavn%C3%AD_strana,147819
19,Hlavn%C3%AD_strana,147625
20,Hlavn%C3%AD_strana,150273
21,Hlavn%C3%AD_strana,157822
22,Hlavn%C3%AD_strana,143663
23,Hlavn%C3%AD_strana,116643
24,Hlavn%C3%AD_strana,118319
25,Hlavn%C3%AD_strana,151676
26,Hlavn%C3%AD_strana,165915
27,Hlavn%C3%AD_strana,166516
28,Hlavn%C3%AD_strana,165216
29,Hlavn%C3%AD_strana,158025
0,Jules_Verne,209
1,Jules_Verne,820
2,Jules_Verne,430
3,Jules_Verne,7925
4,Jules_Verne,9806
5,Jules_Verne,162900
6,Jules_Verne,3268017
7,Jules_Verne,119219
8,Jules_Verne,0
9,Jules_Verne,0
10,Jules_Verne,0
11,Jules_Verne,0
12,Jules_Verne,0
13,Jules_Verne,0
14,Jules_Verne,0
15,Jules_Verne,0
16,Jules_Verne,0
17,Jules_Verne,0
18,Jules_Verne,0
19,Jules_Verne,286
20,Jules_Verne,7473
21,Jules_Verne,0
22,Jules_Verne,0
23,Jules_Verne,0
24,Jules_Verne,0
25,Jules_Verne,0
26,Jules_Verne,0
27,Jules_Verne,0
28,Jules_Verne,0
29,Jules_Verne,0
0,Mark_Zuckerberg,97149
1,Mark_Zuckerberg,121595
2,Mark_Zuckerberg,81768
3,Mark_Zuckerberg,63200
4,Mark_Zuckerberg,67581
5,Mark_Zuckerberg,79451
6,Mark_Zuckerberg,85261
7,Mark_Zuckerberg,82523
8,Mark_Zuckerberg,136255
9,Mark_Zuckerberg,102338
10,Mark_Zuckerberg,72639
11,Mark_Zuckerberg,80530
12,Mark_Zuckerberg,73317
13,Mark_Zuckerberg,92929
14,Mark_Zuckerberg,143294
15,Mark_Zuckerberg,143335
16,Mark_Zuckerberg,82892
17,Mark_Zuckerberg,68774
18,Mark_Zuckerberg,96502
19,Mark_Zuckerberg,104782
20,Mark_Zuckerberg,92032
21,Mark_Zuckerberg,136754
22,Mark_Zuckerberg,152107
23,Mark_Zuckerberg,132896
24,Mark_Zuckerberg,109455
25,Mark_Zuckerberg,116529
26,Mark_Zuckerberg,132660
27,Mark_Zuckerberg,178783
28,Mark_Zuckerberg,260723
29,Mark_Zuckerberg,175401
0,Valentine%27s_Day,1491753
1,Valentine%27s_Day,330462
2,Valentine%27s_Day,147498
