category,group,measure
0,All,404759
1,All,397950
2,All,397632
3,All,416833
4,All,420061
5,All,427528
6,All,481554
7,All,494453
8,All,494420
9,All,503966
10,All,501489
11,All,158397
12,All,106562
13,All,160906
14,All,167949
15,All,100752
16,All,202237
17,All,175890
18,All,81892
19,All,158316
20,All,78994
21,All,74211
22,All,63643
23,All,108100
0,A_K_Peters%2c_Ltd,184685
1,A_K_Peters%2c_Ltd,183195
2,A_K_Peters%2c_Ltd,181871
3,A_K_Peters%2c_Ltd,182652
4,A_K_Peters%2c_Ltd,181100
5,A_K_Peters%2c_Ltd,183639
6,A_K_Peters%2c_Ltd,187047
7,A_K_Peters%2c_Ltd,186696
8,A_K_Peters%2c_Ltd,187209
9,A_K_Peters%2c_Ltd,186895
10,A_K_Peters%2c_Ltd,185289
11,A_K_Peters%2c_Ltd,27532
12,A_K_Peters%2c_Ltd,0
13,A_K_Peters%2c_Ltd,0
14,A_K_Peters%2c_Ltd,0
15,A_K_Peters%2c_Ltd,0
16,A_K_Peters%2c_Ltd,0
17,A_K_Peters%2c_Ltd,0
18,A_K_Peters%2c_Ltd,0
19,A_K_Peters%2c_Ltd,0
20,A_K_Peters%2c_Ltd,0
21,A_K_Peters%2c_Ltd,0
22,A_K_Peters%2c_Ltd,0
23,A_K_Peters%2c_Ltd,0
0,Valentine%27s_Day,25547
1,Valentine%27s_Day,36159
2,Valentine%27s_Day,33954
3,Valentine%27s_Day,34063
4,Valentine%27s_Day,38618
5,Valentine%27s_Day,44597
6,Valentine%27s_Day,75968
7,Valentine%27s_Day,61241
8,Valentine%27s_Day,54511
9,Valentine%27s_Day,58603
10,Valentine%27s_Day,57295
11,Valentine%27s_Day,54639
12,Valentine%27s_Day,58409
13,Valentine%27s_Day,71300
14,Valentine%27s_Day,81644
15,Valentine%27s_Day,208
16,Valentine%27s_Day,106785
17,Valentine%27s_Day,89621
18,Valentine%27s_Day,232
19,Valentine%27s_Day,77134
20,Valentine%27s_Day,221
21,Valentine%27s_Day,231
22,Valentine%27s_Day,206
23,Valentine%27s_Day,55742
0,Warner_Bros,61576
1,Warner_Bros,60924
2,Warner_Bros,70323
3,Warner_Bros,91368
4,Warner_Bros,90357
5,Warner_Bros,91877
6,Warner_Bros,93446
7,Warner_Bros,104330
8,Warner_Bros,125014
9,Warner_Bros,125107
10,Warner_Bros,123675
11,Warner_Bros,18486
12,Warner_Bros,0
13,Warner_Bros,0
14,Warner_Bros,0
15,Warner_Bros,0
16,Warner_Bros,0
17,Warner_Bros,0
18,Warner_Bros,0
19,Warner_Bros,0
20,Warner_Bros,0
21,Warner_Bros,0
22,Warner_Bros,0
23,Warner_Bros,0
0,Tuenti,21876
1,Tuenti,9442
2,Tuenti,4037
3,Tuenti,1953
4,Tuenti,1047
5,Tuenti,759
6,Tuenti,1163
7,Tuenti,4020
8,Tuenti,12055
9,Tuenti,21329
10,Tuenti,25345
11,Tuenti,26692
12,Tuenti,29171
13,Tuenti,32426
14,Tuenti,38075
15,Tuenti,49524
16,Tuenti,41966
17,Tuenti,39169
18,Tuenti,39337
19,Tuenti,40110
20,Tuenti,40920
21,Tuenti,38006
22,Tuenti,29761
23,Tuenti,20351
0,Esperanza_Spalding,264
1,Esperanza_Spalding,241
2,Esperanza_Spalding,321
3,Esperanza_Spalding,470
4,Esperanza_Spalding,552
5,Esperanza_Spalding,496
6,Esperanza_Spalding,17146
7,Esperanza_Spalding,30481
8,Esperanza_Spalding,10557
9,Esperanza_Spalding,6079
10,Esperanza_Spalding,4027
11,Esperanza_Spalding,3424
12,Esperanza_Spalding,414
13,Esperanza_Spalding,457
