category,measure
All,7326048.0
A_K_Peters%2c_Ltd,2057810
Valentine%27s_Day,1491753
Warner_Bros,1056483
Tuenti,578156
Esperanza_Spalding,442243
Washington%2c_D.C,371706
D%C3%ADa_de_San_Valent%C3%ADn,344128
Welcome_to_the_N.H.K,343362
Rangers_F.C,342196
Saint_Valentine,298211
