category,measure
All,35597987.0
Facebook,7258051
Hlavn%C3%AD_strana,4175815
Jules_Verne,3577085
Mark_Zuckerberg,3516958
Valentine%27s_Day,3341258
Google,3197665
Paul_C%C3%A9zanne,2781705
Justin_Bieber,2764965
Accueil,2493437
Ana_Sayfa,2491048
