category,measure
All,5787564.0
A_K_Peters%2c_Ltd,1998930
Thomas_Edison,1574686
Thomas_Alva_Edison,847511
Hosni_Mubarak,345691
Facebook,224060
Vollkommene_Zahl,175749
"Thomas_Edison,_1878.jpg",160200
Egypt,158735
Valentine%27s_Day,151847
_First_Class_(film),150155
