category,measure
All,34703772.0
Facebook,7155612
Hlavn%C3%AD_strana,4256045
Mark_Zuckerberg,3656409
Jules_Verne,3576048
Google,3206895
Paul_C%C3%A9zanne,2781188
Ana_Sayfa,2554410
United_States,2511465
Accueil,2504985
Justin_Bieber,2500715
