category,group,measure
0,All,362985
1,All,360332
2,All,308484
3,All,20321
4,All,82896
5,All,82142
6,All,82160
7,All,85910
8,All,81898
9,All,81351
10,All,82421
11,All,82878
12,All,83835
13,All,85690
14,All,85804
15,All,84575
16,All,86330
17,All,120895
18,All,119903
19,All,132600
20,All,159321
21,All,163559
22,All,189440
23,All,96635
0,A_K_Peters%2c_Ltd,347108
1,A_K_Peters%2c_Ltd,346117
2,A_K_Peters%2c_Ltd,294684
3,A_K_Peters%2c_Ltd,0
4,A_K_Peters%2c_Ltd,0
5,A_K_Peters%2c_Ltd,0
6,A_K_Peters%2c_Ltd,0
7,A_K_Peters%2c_Ltd,0
8,A_K_Peters%2c_Ltd,0
9,A_K_Peters%2c_Ltd,0
10,A_K_Peters%2c_Ltd,0
11,A_K_Peters%2c_Ltd,0
12,A_K_Peters%2c_Ltd,0
13,A_K_Peters%2c_Ltd,0
14,A_K_Peters%2c_Ltd,0
15,A_K_Peters%2c_Ltd,0
16,A_K_Peters%2c_Ltd,9915
17,A_K_Peters%2c_Ltd,56016
18,A_K_Peters%2c_Ltd,55265
19,A_K_Peters%2c_Ltd,66774
20,A_K_Peters%2c_Ltd,99274
21,A_K_Peters%2c_Ltd,104567
22,A_K_Peters%2c_Ltd,126443
23,A_K_Peters%2c_Ltd,59491
0,George_DeTitta%2c_Sr,0
1,George_DeTitta%2c_Sr,0
2,George_DeTitta%2c_Sr,0
3,George_DeTitta%2c_Sr,881
4,George_DeTitta%2c_Sr,62708
5,George_DeTitta%2c_Sr,63111
6,George_DeTitta%2c_Sr,63940
7,George_DeTitta%2c_Sr,63512
8,George_DeTitta%2c_Sr,64180
9,George_DeTitta%2c_Sr,63049
10,George_DeTitta%2c_Sr,63009
11,George_DeTitta%2c_Sr,63120
12,George_DeTitta%2c_Sr,63343
13,George_DeTitta%2c_Sr,62314
14,George_DeTitta%2c_Sr,61547
15,George_DeTitta%2c_Sr,58971
16,George_DeTitta%2c_Sr,49637
17,George_DeTitta%2c_Sr,37235
18,George_DeTitta%2c_Sr,36306
19,George_DeTitta%2c_Sr,38237
20,George_DeTitta%2c_Sr,33596
21,George_DeTitta%2c_Sr,35118
22,George_DeTitta%2c_Sr,42250
23,George_DeTitta%2c_Sr,19958
0,Fernando_Torres,403
1,Fernando_Torres,526
2,Fernando_Torres,396
3,Fernando_Torres,243
4,Fernando_Torres,633
5,Fernando_Torres,520
6,Fernando_Torres,360
7,Fernando_Torres,217
8,Fernando_Torres,281
9,Fernando_Torres,251
10,Fernando_Torres,273
11,Fernando_Torres,309
12,Fernando_Torres,312
13,Fernando_Torres,261
14,Fernando_Torres,241
15,Fernando_Torres,297
16,Fernando_Torres,212
17,Fernando_Torres,234
18,Fernando_Torres,221
19,Fernando_Torres,205
20,Fernando_Torres,201
21,Fernando_Torres,217
22,Fernando_Torres,209
23,Fernando_Torres,426
0,Facebook,549
1,Facebook,796
2,Facebook,749
3,Facebook,973
4,Facebook,1691
5,Facebook,1112
6,Facebook,977
7,Facebook,203
8,Facebook,244
9,Facebook,284
10,Facebook,284
11,Facebook,278
12,Facebook,333
13,Facebook,393
14,Facebook,206
15,Facebook,205
16,Facebook,358
17,Facebook,360
18,Facebook,211
19,Facebook,385
20,Facebook,415
21,Facebook,356
22,Facebook,267
23,Facebook,203
0,Andy_Carroll,504
1,Andy_Carroll,363
2,Andy_Carroll,278
3,Andy_Carroll,5900
4,Andy_Carroll,4989
5,Andy_Carroll,4317
6,Andy_Carroll,4355
7,Andy_Carroll,4768
8,Andy_Carroll,420
9,Andy_Carroll,820
10,Andy_Carroll,233
11,Andy_Carroll,212
12,Andy_Carroll,203
13,Andy_Carroll,208
14,Andy_Carroll,251
15,Andy_Carroll,226
16,Andy_Carroll,258
17,Andy_Carroll,217
18,Andy_Carroll,754
19,Andy_Carroll,626
20,Andy_Carroll,420
21,Andy_Carroll,355
22,Andy_Carroll,258
23,Andy_Carroll,255
0,Hosni_Mubarak,625
1,Hosni_Mubarak,546
2,Hosni_Mubarak,492
3,Hosni_Mubarak,390
4,Hosni_Mubarak,390
5,Hosni_Mubarak,335
6,Hosni_Mubarak,205
7,Hosni_Mubarak,3865
8,Hosni_Mubarak,234
9,Hosni_Mubarak,242
10,Hosni_Mubarak,393
11,Hosni_Mubarak,372
12,Hosni_Mubarak,417
13,Hosni_Mubarak,231
14,Hosni_Mubarak,248
15,Hosni_Mubarak,225
16,Hosni_Mubarak,235
17,Hosni_Mubarak,230
18,Hosni_Mubarak,497
19,Hosni_Mubarak,706
20,Hosni_Mubarak,414
21,Hosni_Mubarak,203
22,Hosni_Mubarak,324
23,Hosni_Mubarak,268
0,Egypt,8154
1,Egypt,7112
2,Egypt,6920
3,Egypt,6931
4,Egypt,6540
5,Egypt,6591
6,Egypt,5395
7,Egypt,4510
8,Egypt,4384
9,Egypt,3991
10,Egypt,4023
11,Egypt,4123
12,Egypt,4564
13,Egypt,5894
14,Egypt,6589
15,Egypt,7619
16,Egypt,8015
17,Egypt,8276
18,Egypt,8602
19,Egypt,8664
20,Egypt,8208
21,Egypt,8336
22,Egypt,9580
23,Egypt,8146
0,Wiki,283
