category,measure
All,4073154.0
A_K_Peters%2c_Ltd,1565654
George_DeTitta%2c_Sr,1046022
Fernando_Torres,273759
Facebook,202825
Andy_Carroll,195236
Hosni_Mubarak,194637
Egypt,162474
Wiki,151602
Hlavn%C3%AD_strana,146678
Ngai.cc,134267
