category,measure
All,35000008.0
Facebook,6484947
Hlavn%C3%AD_strana,4622984
Mark_Zuckerberg,3862617
Ngai.cc,3266849
Main%20Page,3047816
Google,2921680
Ana_Sayfa,2836010
Paul_C%C3%A9zanne,2781402
How_I_Met_Your_Mother,2638813
Accueil,2536890
