category,group,measure
0,All,909060
1,All,980321
2,All,879534
3,All,750943
4,All,765701
5,All,899186
6,All,943558
7,All,945948
8,All,1003458
9,All,935622
10,All,866047
11,All,889466
12,All,1171431
13,All,3530749
14,All,1185223
15,All,1205709
16,All,1177659
17,All,1324232
18,All,1444357
19,All,1560355
20,All,1572587
21,All,1305657
22,All,1234604
23,All,1144005
24,All,970795
25,All,882766
26,All,898429
27,All,901028
28,All,941545
29,All,956725
0,Facebook,202825
1,Facebook,218571
2,Facebook,202978
3,Facebook,180175
4,Facebook,186680
5,Facebook,208609
6,Facebook,207749
7,Facebook,216139
8,Facebook,244660
9,Facebook,220089
10,Facebook,206947
11,Facebook,207814
12,Facebook,216023
13,Facebook,238548
14,Facebook,257156
15,Facebook,289128
16,Facebook,219598
17,Facebook,217737
18,Facebook,264312
19,Facebook,223041
20,Facebook,221988
21,Facebook,231218
22,Facebook,205412
23,Facebook,204345
24,Facebook,151771
25,Facebook,172376
26,Facebook,165568
27,Facebook,171117
28,Facebook,182275
29,Facebook,184468
0,Hlavn%C3%AD_strana,146678
1,Hlavn%C3%AD_strana,143981
2,Hlavn%C3%AD_strana,132302
3,Hlavn%C3%AD_strana,101915
4,Hlavn%C3%AD_strana,113948
5,Hlavn%C3%AD_strana,147819
6,Hlavn%C3%AD_strana,147625
7,Hlavn%C3%AD_strana,150273
8,Hlavn%C3%AD_strana,157822
9,Hlavn%C3%AD_strana,143663
10,Hlavn%C3%AD_strana,116643
11,Hlavn%C3%AD_strana,118319
12,Hlavn%C3%AD_strana,151676
13,Hlavn%C3%AD_strana,165915
14,Hlavn%C3%AD_strana,166516
15,Hlavn%C3%AD_strana,165216
16,Hlavn%C3%AD_strana,158025
17,Hlavn%C3%AD_strana,125491
18,Hlavn%C3%AD_strana,124354
19,Hlavn%C3%AD_strana,165123
20,Hlavn%C3%AD_strana,169136
21,Hlavn%C3%AD_strana,175829
22,Hlavn%C3%AD_strana,176135
23,Hlavn%C3%AD_strana,177706
24,Hlavn%C3%AD_strana,135104
25,Hlavn%C3%AD_strana,131475
26,Hlavn%C3%AD_strana,165204
27,Hlavn%C3%AD_strana,167785
28,Hlavn%C3%AD_strana,163009
29,Hlavn%C3%AD_strana,171621
0,Mark_Zuckerberg,92929
1,Mark_Zuckerberg,143294
2,Mark_Zuckerberg,143335
3,Mark_Zuckerberg,82892
4,Mark_Zuckerberg,68774
5,Mark_Zuckerberg,96502
6,Mark_Zuckerberg,104782
7,Mark_Zuckerberg,92032
8,Mark_Zuckerberg,136754
9,Mark_Zuckerberg,152107
10,Mark_Zuckerberg,132896
11,Mark_Zuckerberg,109455
12,Mark_Zuckerberg,116529
13,Mark_Zuckerberg,132660
14,Mark_Zuckerberg,178783
15,Mark_Zuckerberg,260723
16,Mark_Zuckerberg,175401
17,Mark_Zuckerberg,153503
18,Mark_Zuckerberg,134717
19,Mark_Zuckerberg,147235
