category,measure
All,2687557.0
A_K_Peters%2c_Ltd,653167
Rangers_F.C,478283
Welcome_to_the_N.H.K,375374
Facebook,255033
Hosni_Mubarak,213750
Thomas_Edison,153656
User_Datagram_Protocol,147768
Valentine%27s_Day,147498
Warner_Bros,135725
Restricted_free_agent,127303
