category,measure
All,34541019.0
Facebook,7188657
Hlavn%C3%AD_strana,4188915
Mark_Zuckerberg,3580166
Jules_Verne,3576274
Google,3181774
Paul_C%C3%A9zanne,2781423
Justin_Bieber,2544879
Ana_Sayfa,2520669
Accueil,2490298
United_States,2487964
