category,group,measure
0,All,73442
1,All,89553
2,All,110057
3,All,106079
4,All,107832
5,All,113909
6,All,187779
7,All,116469
8,All,27494
9,All,44541
10,All,43373
11,All,50745
12,All,75566
13,All,75433
14,All,74111
15,All,75250
16,All,75243
17,All,75810
18,All,75271
19,All,88458
20,All,107197
21,All,107197
22,All,105774
23,All,105936
0,A_K_Peters%2c_Ltd,52770
1,A_K_Peters%2c_Ltd,72295
2,A_K_Peters%2c_Ltd,93368
3,A_K_Peters%2c_Ltd,92736
4,A_K_Peters%2c_Ltd,93323
5,A_K_Peters%2c_Ltd,95170
6,A_K_Peters%2c_Ltd,95814
7,A_K_Peters%2c_Ltd,57691
8,A_K_Peters%2c_Ltd,0
9,A_K_Peters%2c_Ltd,0
10,A_K_Peters%2c_Ltd,0
11,A_K_Peters%2c_Ltd,0
12,A_K_Peters%2c_Ltd,0
13,A_K_Peters%2c_Ltd,0
14,A_K_Peters%2c_Ltd,0
15,A_K_Peters%2c_Ltd,0
16,A_K_Peters%2c_Ltd,0
17,A_K_Peters%2c_Ltd,0
18,A_K_Peters%2c_Ltd,0
19,A_K_Peters%2c_Ltd,0
20,A_K_Peters%2c_Ltd,0
21,A_K_Peters%2c_Ltd,0
22,A_K_Peters%2c_Ltd,0
23,A_K_Peters%2c_Ltd,0
0,Rangers_F.C,0
1,Rangers_F.C,0
2,Rangers_F.C,0
3,Rangers_F.C,0
4,Rangers_F.C,0
5,Rangers_F.C,0
6,Rangers_F.C,0
7,Rangers_F.C,0
8,Rangers_F.C,14866
9,Rangers_F.C,32190
10,Rangers_F.C,31833
11,Rangers_F.C,31435
12,Rangers_F.C,31612
13,Rangers_F.C,31462
14,Rangers_F.C,30489
15,Rangers_F.C,30751
16,Rangers_F.C,30376
17,Rangers_F.C,30259
18,Rangers_F.C,30196
19,Rangers_F.C,30210
20,Rangers_F.C,30810
21,Rangers_F.C,30776
22,Rangers_F.C,30346
23,Rangers_F.C,30672
0,Welcome_to_the_N.H.K,0
1,Welcome_to_the_N.H.K,0
2,Welcome_to_the_N.H.K,0
3,Welcome_to_the_N.H.K,0
4,Welcome_to_the_N.H.K,0
5,Welcome_to_the_N.H.K,0
6,Welcome_to_the_N.H.K,0
7,Welcome_to_the_N.H.K,0
8,Welcome_to_the_N.H.K,0
9,Welcome_to_the_N.H.K,0
10,Welcome_to_the_N.H.K,0
11,Welcome_to_the_N.H.K,7582
12,Welcome_to_the_N.H.K,31440
13,Welcome_to_the_N.H.K,31368
14,Welcome_to_the_N.H.K,30567
15,Welcome_to_the_N.H.K,30720
16,Welcome_to_the_N.H.K,30388
17,Welcome_to_the_N.H.K,30211
18,Welcome_to_the_N.H.K,29982
