category,group,measure
0,All,850183
1,All,861866
2,All,875771
3,All,1073775
4,All,4242345
5,All,1082656
6,All,919270
7,All,814612
8,All,828060
9,All,912417
10,All,997390
11,All,854455
12,All,953723
13,All,848560
14,All,742343
15,All,740580
16,All,852829
17,All,886810
18,All,885389
19,All,969329
20,All,920444
21,All,842963
22,All,871394
23,All,1142120
24,All,3468485
25,All,1125402
26,All,1181552
27,All,973322
28,All,877580
29,All,949127
0,Facebook,255033
1,Facebook,224060
2,Facebook,208962
3,Facebook,220525
4,Facebook,241468
5,Facebook,254412
6,Facebook,262965
7,Facebook,220943
8,Facebook,238767
9,Facebook,283965
10,Facebook,348778
11,Facebook,202825
12,Facebook,218571
13,Facebook,202978
14,Facebook,180175
15,Facebook,186680
16,Facebook,208609
17,Facebook,207749
18,Facebook,216139
19,Facebook,244660
20,Facebook,220089
21,Facebook,206947
22,Facebook,207814
23,Facebook,216023
24,Facebook,238548
25,Facebook,257156
26,Facebook,289128
27,Facebook,219598
28,Facebook,217737
29,Facebook,264312
0,Hlavn%C3%AD_strana,102006
1,Hlavn%C3%AD_strana,109949
2,Hlavn%C3%AD_strana,133416
3,Hlavn%C3%AD_strana,136211
4,Hlavn%C3%AD_strana,146289
5,Hlavn%C3%AD_strana,143104
6,Hlavn%C3%AD_strana,125036
7,Hlavn%C3%AD_strana,96732
8,Hlavn%C3%AD_strana,94992
9,Hlavn%C3%AD_strana,118863
10,Hlavn%C3%AD_strana,139013
11,Hlavn%C3%AD_strana,146678
12,Hlavn%C3%AD_strana,143981
13,Hlavn%C3%AD_strana,132302
14,Hlavn%C3%AD_strana,101915
15,Hlavn%C3%AD_strana,113948
16,Hlavn%C3%AD_strana,147819
17,Hlavn%C3%AD_strana,147625
18,Hlavn%C3%AD_strana,150273
19,Hlavn%C3%AD_strana,157822
20,Hlavn%C3%AD_strana,143663
21,Hlavn%C3%AD_strana,116643
22,Hlavn%C3%AD_strana,118319
23,Hlavn%C3%AD_strana,151676
24,Hlavn%C3%AD_strana,165915
25,Hlavn%C3%AD_strana,166516
26,Hlavn%C3%AD_strana,165216
27,Hlavn%C3%AD_strana,158025
28,Hlavn%C3%AD_strana,125491
29,Hlavn%C3%AD_strana,124354
0,Mark_Zuckerberg,81768
1,Mark_Zuckerberg,63200
2,Mark_Zuckerberg,67581
3,Mark_Zuckerberg,79451
4,Mark_Zuckerberg,85261
5,Mark_Zuckerberg,82523
6,Mark_Zuckerberg,136255
